label,src_file,dev_ids_per_window_mean,dev_ids_per_window_p90,segments_per_window_mean,segments_per_window_p90,long_segment_frac,heavy_segment_frac,active_cfo_frac,seg_n_packets_p50,seg_n_packets_p90,seg_duration_obs_p50,seg_duration_obs_p90,cfo_std_norm_p50,cfo_std_norm_p90,cfo_std_norm_p99,CFO_Hz_std_p50,CFO_Hz_std_p90,CFO_00_Hz_std_p50,CFO_00_Hz_std_p90,CFO_11_Hz_std_p50,CFO_11_Hz_std_p90,CFO_10_Hz_std_p50,CFO_10_Hz_std_p90,CFO_01_Hz_std_p50,CFO_01_Hz_std_p90
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-10s_rot-30s.csv,11.333333333333334,15.0,12.0,16.0,0.75,0.3055555555555556,0.9722222222222222,10.0,83.0,515.5025207996368,1372.7010583877563,43681.148250053746,56125.980762313804,63999.15211412151,9813.608733751655,15801.601192089907,19880.374494921554,27178.731244122897,21796.279766159325,32026.649437208216,21221.70426446506,29732.317255102207,17600.632754668273,27353.62629294223
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-10s_rot-5min.csv,8.333333333333334,11.6,8.666666666666666,12.4,0.23076923076923078,0.4230769230769231,0.9230769230769231,23.5,94.0,217.6977071762085,606.210801243782,19052.723554929493,53393.46278071138,55537.97816995763,4320.870855872627,13768.933019410315,10373.753200532825,24124.178841643694,14741.696577027793,27434.50681880187,11159.312439054496,29005.331904165156,10119.752785903966,26013.54007860759
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-15s_rot-10s.csv,12.0,15.0,12.666666666666666,16.0,0.7631578947368421,0.2894736842105263,0.868421052631579,7.0,82.30000000000001,534.0968290567398,1607.5146135807038,30953.64116456788,61334.22360251085,72623.14011589247,7236.83073079897,14438.629929507122,15193.156328502795,29446.7642784443,18877.359003223803,34317.68701500938,15646.701581434761,27873.783772457118,18934.97036787399,31965.23112758427
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-15s_rot-15min.csv,7.666666666666667,11.8,7.666666666666667,11.8,0.30434782608695654,0.6086956521739131,0.8695652173913043,49.0,85.80000000000001,219.77218437194824,785.7563630104066,16929.23115624828,44629.8450317476,51851.00252345277,2801.626479925031,9925.257124641063,7963.58466596759,23533.061173602156,9812.197726670242,23132.442744462816,6298.647873645478,19461.666245905282,6950.035021566879,22583.060430764235
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-15s_rot-1min.csv,11.0,15.0,11.333333333333334,15.8,0.6176470588235294,0.3235294117647059,0.9705882352941176,8.0,84.4,570.8670144081116,955.3146998167038,35831.52956197071,58511.43583909635,65165.64483630227,6947.7742741779675,16064.024490773047,15808.425523540785,27743.73347548329,16009.505099646725,32206.05732051246,16018.154936008683,28442.6573840917,15925.511948727284,28884.760066180905
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-15s_rot-2s.csv,11.666666666666666,15.0,12.333333333333334,16.0,0.7837837837837838,0.2972972972972973,0.8918918918918919,7.0,81.8,535.215039730072,1606.5898733139038,29622.702518844126,61377.05185959323,68703.70046661662,6554.907772689038,13521.383588496949,13509.05728298313,28835.057491077776,20493.467863256705,32188.701128789984,14655.422065435567,30872.10547049011,14563.452040878994,30387.900229417068
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-15s_rot-30s.csv,11.333333333333334,15.0,12.0,16.0,0.7222222222222222,0.3055555555555556,0.9444444444444444,8.0,82.5,542.1302362680435,1373.4696114063263,30573.295309025285,55479.49753173138,68135.24860151665,6130.894037202538,13851.18102373829,12408.520735978931,25790.97862255757,13750.79665744962,30899.290599174925,15225.362905722763,26392.667752608522,16145.410891451691,28712.532127080573
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-15s_rot-5min.csv,8.0,11.4,8.333333333333334,11.6,0.24,0.44,0.92,23.0,86.6,220.19681930541992,587.3815147399903,18960.256804079778,53000.97135491643,54904.0525832921,4289.519315725093,13484.6088844944,10471.531474755748,24888.836200742582,13089.908726297483,27119.950987118733,9035.6998180041,24136.13123680931,10221.478545644597,27467.35507516633
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-1min_rot-10s.csv,10.666666666666666,14.8,11.333333333333334,15.8,0.5294117647058824,0.3235294117647059,0.8529411764705882,2.5,81.4,407.85685420036316,945.1352352142334,21576.93611872135,61072.02319667761,89240.01252754855,5125.690436245868,13887.734546454965,10471.531474755748,22103.250648249727,13089.908726297483,38665.32497046875,8234.675811239098,32613.20599966935,7552.795381255217,36901.83827499746
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-1min_rot-15min.csv,7.333333333333333,11.6,7.333333333333333,11.6,0.3181818181818182,0.5,0.9090909090909091,41.5,86.4,219.89949452877045,712.1186034679415,17619.216182579006,40566.82088598223,65347.85174226175,2801.626479925031,8966.857781445118,7173.161979439001,18608.67094257782,11979.431507923673,19455.615693008676,6298.647873645478,25910.657610294365,6614.415950786258,13795.965533801376
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-1min_rot-1min.csv,10.666666666666666,14.6,11.0,15.4,0.5757575757575758,0.3333333333333333,0.8181818181818182,3.0,81.6,531.3614974021912,945.3594372272491,20549.14433931377,53209.04540884203,72876.6893283625,4622.836095376155,16120.066681969556,9666.521573369868,19990.32993995691,13006.973575035805,35388.527365569644,8234.675811239098,26715.090376875305,8795.106322646474,27392.19644127811
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-1min_rot-2s.csv,11.0,14.8,11.333333333333334,15.6,0.5882352941176471,0.3235294117647059,0.7941176470588235,3.0,80.4,504.22541093826294,944.8803776502609,19389.93390843828,57577.129593968435,69232.23951439155,4414.2718604803285,14924.680158651798,10275.974926309904,21218.64550098229,13006.973575035805,34798.73930516039,9686.183677007963,35178.78102365066,7356.591023892726,27673.33286206688
