seg_id,eco,dev_id,t_start,t_end,n_packets,n_unique_adva_in_seg,n_adv_tag_packets,CFO_Hz_mean,CFO_Hz_std,CFO_Hz__iqr,CFO_00_Hz_mean,CFO_00_Hz_std,CFO_00_Hz__iqr,CFO_11_Hz_mean,CFO_11_Hz_std,CFO_11_Hz__iqr,CFO_10_Hz_mean,CFO_10_Hz_std,CFO_10_Hz__iqr,CFO_01_Hz_mean,CFO_01_Hz_std,CFO_01_Hz__iqr,duration_obs,duration_est,cfo_std_norm,label,src_file
0,APPLE,4D:E0:FA:56:F5:D0,112.62400000001072,561.9429999999993,2,1,0,-47010.0,9261.684619981399,6549.0,45850.0,732.5626253092632,518.0,-116440.0,21480.48979888494,15189.0,51123.5,18354.370719259216,12978.5,-117091.0,50.91168824543142,36.0,449.3189999999886,1800.0,29742.43447500557,Benign,controlled/Benign/airport.csv
0,APPLE,4D:E0:FA:56:FD:D0,559.7900000000081,559.7900000000081,1,1,0,-45318.0,,0.0,48355.0,,0.0,-96140.0,,0.0,52788.0,,0.0,-113096.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:E0:FA:D6:F5:D0,906.3360000000102,906.3360000000102,1,1,0,-40901.0,,0.0,76392.0,,0.0,-95630.0,,0.0,55069.0,,0.0,-100710.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4E:3B:28:79:09:02,479.97699999999895,479.97699999999895,1,1,0,0.0,,0.0,60159.0,,0.0,-127989.0,,0.0,37264.0,,0.0,-112320.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4E:3B:2A:79:09:02,905.3420000000042,905.3420000000042,1,1,0,-40637.0,,0.0,68360.0,,0.0,-109346.0,,0.0,43402.0,,0.0,-119822.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4E:3B:2A:79:09:22,213.4300000000076,213.4300000000076,1,1,0,-21037.0,,0.0,70972.0,,0.0,-98889.0,,0.0,62063.0,,0.0,-115072.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4E:3B:38:F8:09:02,949.0770000000048,949.0770000000048,1,1,0,-18521.0,,0.0,47880.0,,0.0,-91344.0,,0.0,28135.0,,0.0,-113796.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4E:96:2B:3A:D2:99,1287.6330000000016,1287.6330000000016,1,1,0,-31423.0,,0.0,93565.0,,0.0,-134745.0,,0.0,97760.0,,0.0,-160535.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4E:96:2B:3B:C2:D9,1281.8559999999998,1544.1900000000023,2,1,0,-34147.5,6630.540287186256,4688.5,47620.5,8935.708393854402,6318.5,-101528.5,2375.171678005613,1679.5,69909.0,3234.3064171472683,2287.0,-140578.0,10886.616003148085,7698.0,262.33400000000256,1800.0,16075.80590514827,Benign,controlled/Benign/airport.csv
0,APPLE,4F:99:5B:A8:1D:DA,699.5590000000084,699.5590000000084,1,1,0,-24116.0,,0.0,61499.0,,0.0,-85706.0,,0.0,49135.0,,0.0,-127391.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
