cluster_id,t_s,t_e,chunk_idx,mac,tag,n_keys,purity_cluster,entropy_cluster,is_quarantined,decision,d_best,n_rows_in_chunk_for_mac,seg_CFO_Hz,seg_CFO_00_Hz,seg_CFO_11_Hz,seg_CFO_10_Hz,seg_CFO_01_Hz
4,900.0,1800.0,1,D3:BC:DD:3A:57:61,APPLE_FINDMY,1,0.015267175572519083,0.9940050410571637,0,MATCH,5.454127572434487,1,8128.0,101852.0,-92149.0,92216.0,-113414.0
1,900.0,1800.0,1,E6:EC:22:0C:07:44,APPLE_FINDMY,1,0.00904977375565611,0.9904614761877779,0,MATCH,-1000000000000.0,1,-31351.0,138270.0,-139054.0,96194.0,-108007.0
1,900.0,1800.0,1,F8:08:3F:1C:43:8B,APPLE_FINDMY,1,0.009009009009009009,0.9904980602627215,0,MATCH,-1000000000000.0,1,20466.0,117995.0,-95894.0,104598.0,-105617.0
5,900.0,1800.0,1,E2:0E:55:93:EB:4B,APPLE_FINDMY,1,0.03278688524590164,0.9942909573833445,0,MATCH,-1000000000000.0,1,39201.0,115398.0,-107804.0,107184.0,-82054.0
4,900.0,1800.0,1,CE:18:58:ED:94:17,APPLE_FINDMY,1,0.015151515151515152,0.9940545457616228,0,MATCH,1.1649565984369086,1,-26439.0,133811.0,-122648.0,110124.0,-116575.0
13,900.0,1800.0,1,76:0D:D0:C0:2E:68,GOOGLE,1,0.3333333333333333,0.9999999999963589,0,MATCH,-1000000000000.0,7,1390.857142857143,156049.0,-119106.0,129452.85714285714,-113791.28571428571
4,900.0,1800.0,1,E3:1D:38:E2:BD:17,APPLE_FINDMY,1,0.015037593984962405,0.9941033061731789,0,MATCH,-1000000000000.0,1,-16504.0,132779.0,-154939.0,116052.0,-133007.0
5,900.0,1800.0,1,D8:80:21:84:8F:3E,APPLE_FINDMY,1,0.03225806451612903,0.993145074509363,0,MATCH,2.392946867894451,1,22561.0,112927.0,-106011.0,103886.0,-99830.0
5,900.0,1800.0,1,E4:B7:AD:FD:24:7A,APPLE_FINDMY,1,0.031746031746031744,0.9932688019172953,0,MATCH,2.219467983921376,1,17664.0,118705.0,-103800.0,98350.0,-99661.0
4,900.0,1800.0,1,D7:64:00:50:16:6A,APPLE_FINDMY,1,0.014925373134328358,0.9936871615870698,0,MATCH,-1000000000000.0,1,-11849.0,138521.0,-127063.0,98850.0,-102729.0
2,900.0,1800.0,1,62:9A:B0:8F:D4:40,GOOGLE,1,0.037037037037037035,0.998241946689981,0,MATCH,-1000000000000.0,3,27224.333333333332,139032.33333333334,-121780.0,108731.33333333333,-108216.0
4,900.0,1800.0,1,D6:8B:91:79:1B:1A,APPLE_FINDMY,1,0.014814814814814815,0.9932886890648714,0,MATCH,-1000000000000.0,1,22654.0,130531.0,-120914.0,98567.0,-100559.0
5,900.0,1800.0,1,E2:60:39:43:1D:92,APPLE_FINDMY,1,0.03125,0.9933885076619405,0,MATCH,3.407520359646316,1,0.0,110450.0,-102853.0,96972.0,-80825.0
4,900.0,1800.0,1,FD:99:AF:EE:ED:24,APPLE_FINDMY,1,0.014705882352941176,0.9933412980526772,0,MATCH,-1000000000000.0,1,-16826.0,100801.0,-91307.0,87419.0,-101735.0
4,900.0,1800.0,1,CD:0B:90:56:62:BA,APPLE_FINDMY,1,0.014598540145985401,0.9929619182554372,0,MATCH,-1000000000000.0,1,-18748.0,112769.0,-114232.0,82608.0,-102120.0
4,900.0,1800.0,1,D7:A1:4A:01:19:9D,APPLE_FINDMY,1,0.014492753623188406,0.9930156696265351,0,MATCH,0.8196499887030149,1,-34535.0,124734.0,-130267.0,100910.0,-120060.0
4,900.0,1800.0,1,E3:1D:18:E2:0F:57,APPLE_FINDMY,1,0.014388489208633094,0.99306868271136,0,MATCH,-1000000000000.0,1,-2159.0,146271.0,-156744.0,111759.0,-135598.0
2,900.0,1800.0,1,62:9A:B0:86:D0:40,GOOGLE,1,0.03636363636363636,0.9982812131291753,0,MATCH,-1000000000000.0,2,15073.5,160092.5,-132841.0,112916.0,-114083.0
1,900.0,1800.0,1,FD:AC:96:C8:BB:17,APPLE_FINDMY,1,0.008968609865470852,0.990534440975276,0,MATCH,5.512006579679357,1,-9470.0,141561.0,-143454.0,101424.0,-93185.0
2,900.0,1800.0,1,62:9A:B8:09:D4:40,GOOGLE,1,0.03571428571428571,0.9983188942145572,0,MATCH,-1000000000000.0,1,19817.0,143322.0,-126974.0,113840.0,-112980.0
5,900.0,1800.0,1,F0:BC:76:18:FF:C4,APPLE_FINDMY,1,0.03076923076923077,0.992368970774082,0,MATCH,-1000000000000.0,1,34442.0,140858.0,-139774.0,124066.0,-97929.0
13,900.0,1800.0,1,74:0D:D0:C0:2E:68,GOOGLE,1,0.25,0.9999999999963932,0,MATCH,-1000000000000.0,1,889.0,143026.0,-129473.0,148605.0,-124283.0
6,900.0,1800.0,1,F1:97:39:67:55:7B,APPLE_FINDMY,1,0.044444444444444446,0.9977977621743731,0,MATCH,4.796702693100629,1,13039.0,155093.0,-129268.0,114703.0,-94555.0
1,900.0,1800.0,1,E9:DA:1D:87:D8:EB,APPLE_FINDMY,1,0.008928571428571428,0.9904080247667645,0,MATCH,-1000000000000.0,1,-18685.0,108834.0,-97193.0,101066.0,-82156.0
2,900.0,1800.0,1,62:9A:B0:82:D4:40,GOOGLE,1,0.03508771929824561,0.9983550812027936,0,MATCH,-1000000000000.0,1,6297.0,165682.0,-122298.0,112522.0,-116150.0
2,900.0,1800.0,1,62:9A:B0:86:C5:40,GOOGLE,1,0.034482758620689655,0.9983898585917569,0,MATCH,-1000000000000.0,1,-4962.0,143148.0,-121011.0,117220.0,-111806.0
1,900.0,1800.0,1,DD:A3:2D:2B:26:CC,APPLE_FINDMY,1,0.008888888888888889,0.9904439886952262,0,MATCH,-1000000000000.0,1,1398.0,162218.0,-126468.0,109289.0,-102824.0
1,900.0,1800.0,1,E6:98:C8:5E:77:DE,APPLE_FINDMY,1,0.008849557522123894,0.9904797607163617,0,MATCH,-1000000000000.0,1,-1383.0,122551.0,-104681.0,111727.0,-101838.0
1,900.0,1800.0,1,DB:11:1F:1A:43:E6,APPLE_FINDMY,1,0.00881057268722467,0.990515340957936,0,MATCH,-1000000000000.0,1,-29037.0,120204.0,-120071.0,114250.0,-99023.0
4,900.0,1800.0,1,E3:88:7C:7E:54:42,APPLE_FINDMY,1,0.014285714285714285,0.9931209716014823,0,MATCH,-1000000000000.0,1,-2604.0,104782.0,-123121.0,102780.0,-98906.0
6,900.0,1800.0,1,C3:1C:A9:21:11:01,APPLE_FINDMY,1,0.043478260869565216,0.9978569344441401,0,MATCH,4.468316918239661,1,-22543.0,141596.0,-134579.0,128216.0,-112556.0
4,900.0,1800.0,1,D6:08:10:07:AF:E4,APPLE_FINDMY,1,0.014184397163120567,0.993172550060525,0,MATCH,2.898544183618324,1,-29177.0,142699.0,-122805.0,95729.0,-113833.0
13,900.0,1800.0,1,76:0D:D4:C0:2E:68,GOOGLE,1,0.2,0.999999999996272,0,MATCH,-1000000000000.0,1,13598.0,157532.0,-108591.0,128199.0,-113796.0
5,900.0,1800.0,1,E3:7A:85:A9:D6:36,APPLE_FINDMY,1,0.030303030303030304,0.9924978027882915,0,MATCH,3.9395134713250037,1,18451.0,100293.0,-124950.0,116653.0,-89798.0
6,900.0,1800.0,1,C8:44:5A:9E:69:66,APPLE_FINDMY,1,0.0425531914893617,0.9979132494523931,0,MATCH,0.8462831565976545,1,-1347.0,135577.0,-141623.0,97717.0,-114325.0
5,900.0,1800.0,1,FF:D8:C8:09:59:D0,APPLE_FINDMY,1,0.029850746268656716,0.9926227343555784,0,MATCH,2.204736120141644,1,0.0,119274.0,-124993.0,101131.0,-91920.0
6,900.0,1800.0,1,F6:FC:13:A1:92:AE,APPLE_FINDMY,1,0.041666666666666664,0.9979669030428807,0,MATCH,6.842951179234989,1,11410.0,162713.0,-118038.0,121494.0,-98441.0
4,900.0,1800.0,1,CF:89:FF:7C:7F:5F,APPLE_FINDMY,1,0.014084507042253521,0.9932234315324339,0,MATCH,11.874956666604378,1,-22614.0,171670.0,-134088.0,144501.0,-117160.0
1,900.0,1800.0,1,F6:B2:63:5E:97:80,APPLE_FINDMY,1,0.008771929824561403,0.9905507296011229,0,MATCH,2.7813187525243768,1,-21452.0,129527.0,-137619.0,108780.0,-97727.0
5,900.0,1800.0,1,EE:F0:43:31:24:4E,APPLE_FINDMY,1,0.029411764705882353,0.9927439313031483,0,MATCH,0.41353766089158006,1,6786.0,128267.0,-114740.0,114833.0,-100898.0
1,900.0,1800.0,1,CE:C7:39:A3:18:18,APPLE_FINDMY,1,0.008733624454148471,0.9904282869414067,0,MATCH,-1000000000000.0,1,-25716.0,144183.0,-166127.0,120846.0,-101343.0
6,900.0,1800.0,1,F6:F4:13:A1:B2:BE,APPLE_FINDMY,1,0.04081632653061224,0.9980180738535271,0,MATCH,-1000000000000.0,1,-1058.0,157890.0,-98562.0,115332.0,-97734.0
5,900.0,1800.0,1,E2:12:E2:E5:C1:50,APPLE_FINDMY,1,0.028985507246376812,0.9928615505985294,0,MATCH,13.42172318851806,1,-19027.0,161891.0,-126687.0,109463.0,-75623.0
6,900.0,1800.0,1,CF:F6:03:B0:10:8B,APPLE_FINDMY,1,0.04,0.9980669251459197,0,MATCH,4.099462849706066,1,-10866.0,138791.0,-153981.0,120781.0,-105323.0
5,900.0,1800.0,1,C4:E2:54:29:45:52,APPLE_FINDMY,1,0.02857142857142857,0.9929757409037716,0,MATCH,3.6848112067244183,1,16581.0,125951.0,-99473.0,125746.0,-92538.0
2,900.0,1800.0,1,62:9A:B0:86:D0:51,GOOGLE,1,0.03389830508474576,0.9984233047284935,0,MATCH,-1000000000000.0,1,25721.0,163407.0,-120677.0,113706.0,-121026.0
1,900.0,1800.0,1,FC:4A:D9:9F:0E:28,APPLE_FINDMY,1,0.008695652173913044,0.9903105311135567,0,MATCH,-1000000000000.0,1,-25246.0,130317.0,-126224.0,102587.0,-100117.0
5,900.0,1800.0,1,C4:E2:54:29:69:FA,APPLE_FINDMY,1,0.028169014084507043,0.993086643091451,0,MATCH,-1000000000000.0,1,-11116.0,148074.0,-108928.0,136764.0,-93335.0
5,900.0,1800.0,1,F7:89:59:8B:75:50,APPLE_FINDMY,1,0.027777777777777776,0.993194390725166,0,MATCH,9.203209566630937,1,-5187.0,170712.0,-92494.0,120800.0,-89509.0
2,900.0,1800.0,1,72:9A:B0:86:D4:40,GOOGLE,1,0.03333333333333333,0.9984554923531861,0,MATCH,-1000000000000.0,1,10899.0,162610.0,-129145.0,114184.0,-116060.0
6,900.0,1800.0,1,DD:7F:BF:05:DB:53,APPLE_FINDMY,1,0.0392156862745098,0.9981136064078665,0,MATCH,4.46542177270174,1,-15134.0,148917.0,-109759.0,117991.0,-110113.0
5,900.0,1800.0,1,CD:2E:E9:A5:46:DC,APPLE_FINDMY,1,0.0273972602739726,0.993299110507042,0,MATCH,5.646497170478665,1,30948.0,144397.0,-120649.0,108113.0,-90160.0
1,900.0,1800.0,1,F0:EC:90:D5:52:A4,APPLE_FINDMY,1,0.008658008658008658,0.9903452686616169,0,MATCH,-1000000000000.0,1,-30682.0,133950.0,-125583.0,101788.0,-100489.0
5,900.0,1800.0,1,C3:6F:3B:5C:B0:77,APPLE_FINDMY,1,0.02702702702702703,0.9934009226946119,0,MATCH,2.0231659264944772,1,337.0,113588.0,-127408.0,114652.0,-87327.0
5,900.0,1800.0,1,F0:E5:8F:9A:C4:81,APPLE_FINDMY,1,0.02666666666666667,0.9934999414892727,0,MATCH,3.212062469239282,1,-15198.0,138023.0,-116606.0,106453.0,-91799.0
2,900.0,1800.0,1,6B:9A:B4:84:94:40,GOOGLE,1,0.03278688524590164,0.9984864890867992,0,MATCH,-1000000000000.0,1,23230.0,120672.0,-82104.0,76741.0,-92796.0
5,900.0,1800.0,1,CB:E5:D4:81:75:15,APPLE_FINDMY,1,0.02631578947368421,0.9935962753983789,0,MATCH,6.123051211980477,1,-13228.0,106374.0,-120835.0,98508.0,-80619.0
10,900.0,1800.0,1,D1:91:BC:38:82:85,APPLE_FINDMY,1,0.5,0.999999999995672,0,MATCH,5.728749814226938,1,427.0,56690.0,-100189.0,109784.0,-103552.0
