pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz,_group
3041,1769128192.260663,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,6413.002116,6954.225025,6413.000701,337129.023542,266359.306344,1.042164,14.523847,65.5,14174.989687,24.558135,125000.0,376.0,2047.394897,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,18925.234375,2816.54126,51772467,51773219,-375.994181,-4820.829299,7123.727279,10675.323208,
3042,1769128192.3059611,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,6720.249485,6857.579628,6720.249118,337166.556991,268985.304875,1.041107,13.903868,65.5,14124.778547,24.574162,125000.0,376.0,1771.566772,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,18976.759766,2801.467041,51772468,51773220,1099.212709,-3248.094375,9004.847943,6982.344124,
3296,1769128196.4045784,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,5187.347723,7054.005405,5187.346522,334152.56993,264085.16843,1.047989,-9.54139,92.0,13766.924867,24.198257,125000.0,376.0,1920.661743,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2000.489502,4256.34668,55774201,55774953,-1936.678375,-2987.463381,7101.005167,6395.000178,
3495,1769128200.5149078,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,-553.243081,7361.899552,-553.24261,285853.776722,226669.689014,1.042091,-15.592905,97.5,7609.019714,23.517629,125000.0,376.0,1422.026978,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-61590.007812,-33835.59375,59771578,59772330,-5233.259885,-13203.47195,-1699.001027,5762.589212,
3709,1769128204.499986,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,-2255.411069,5418.742539,-2255.411429,324646.785658,240052.215236,1.006743,-38.48937,95.0,6488.477114,23.94419,125000.0,376.0,171.937088,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,13017.941406,3384.625732,63772026,63772778,-10007.971619,-15217.069957,-1729.946223,5590.928863,
3710,1769128204.537874,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,-1959.022762,5336.431477,-1959.023566,324148.725954,262962.786139,1.006705,-38.150078,95.0,6426.116461,23.921261,125000.0,376.0,-155.351959,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,13752.392578,3443.426025,63772027,63772779,-7923.548678,-10262.518742,-2157.139503,-1205.973259,
3949,1769128208.538622,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,3296.6874,7811.468885,3296.687873,318043.417326,252761.380818,0.956802,-80.167641,60.5,10961.160096,24.553559,125000.0,376.0,1146.89978,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,13208.217773,16526.910156,67773413,67774165,-2400.134171,-6389.321187,4715.298894,5225.219633,
4346,1769128216.1350172,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,5767.458741,7891.706014,5767.458017,258898.555456,181898.425227,0.975291,63.225537,96.0,14080.582933,24.299793,125000.0,376.0,3455.913574,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,16085.836914,7497.339355,75680703,75681455,-2996.942437,-3152.417219,8485.752181,9604.843558,
4347,1769128216.1784203,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,6103.267368,7795.492751,6103.267089,258324.691471,186233.72696,0.976207,63.309357,96.0,14028.188731,24.285525,125000.0,376.0,3190.644043,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,18056.988281,7477.143066,75680704,75681456,218.626045,-3370.961925,7793.983998,7777.789585,
4762,1769128223.9796731,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,6380.783719,7168.147989,6380.782813,345192.816847,257657.26978,1.053011,2.888828,90.0,15303.849411,24.425973,127659.574468,376.0,3361.415527,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-13860.811523,-4489.154785,83683538,83684290,240.504017,-2935.670991,8050.34749,8497.316924,
4968,1769128227.7879784,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,7276.237746,7222.36254,7276.237427,330264.375854,250866.353072,1.049526,-11.534101,97.5,14779.885083,24.231335,127659.574468,376.0,3083.039551,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-3477.28418,-3928.319824,87687039,87687791,-3106.904388,-4234.614647,10373.105141,13991.555331,
4969,1769128227.8352711,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,7573.213892,7138.350961,7573.213783,329647.937038,255023.513349,1.047558,-11.630641,96.5,14730.825273,24.25214,127659.574468,376.0,2779.528076,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-3477.28418,-3877.756104,87687040,87687792,-120.16733,-2554.786376,10395.1575,9800.868481,
5194,1769128232.2355611,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,5528.918062,7552.65151,5528.917735,322226.025991,240688.698843,1.046076,-15.493063,86.5,14504.5081,24.858372,125000.0,376.0,2815.263672,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,26783.140625,2317.60791,91688523,91689275,-3131.093296,-4373.722175,7606.940617,10173.225789,
5195,1769128232.3229177,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,5906.448769,7461.959778,5906.448742,322273.58412,257168.033909,1.044384,-15.346337,86.5,14456.61188,24.844422,125000.0,376.0,2529.018555,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,35102.382812,2320.990723,91688524,91689276,-1206.970062,-2856.588731,8671.128252,6550.868006,
