pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
24,1764395504.561007023,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22904.323984,-1618.482460,-22904.324623,354249.458020,267819.019718,1.003533,-38.197564,22.000000,-36525.848342,20.103686,154255.319149,376.000000,8937.033203,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-67383.726562,-32531.732422,90942777,90943529,17689.456642,-28429.054089,-55718.545413,26494.139031
25,1764395504.594974995,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22293.554937,-1505.489685,-22293.556070,354044.844569,289332.013744,1.004450,-35.747561,22.000000,-36204.584744,20.180151,154255.319149,376.000000,9381.444336,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-67383.726562,-32417.195312,90942778,90943530,11178.837385,-75984.985353,-40557.235367,59332.258027
26,1764395506.643576384,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22644.499642,843.285524,-22644.501503,354255.950950,278017.324976,0.991348,-67.116536,29.500000,-35260.851282,21.045612,5319.148936,376.000000,10694.827148,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-27859.189453,-26595.617188,94946941,94947693,9372.533603,-45279.680895,-60175.835247,58282.406501
27,1764395512.518518686,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-23178.327359,425.436096,-23178.326300,352623.420051,277334.940111,1.007287,6.626438,97.500000,-35401.492557,21.184576,2659.574468,376.000000,10192.683594,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-55786.480469,-25652.148438,106730158,106730910,24294.390881,-20998.053681,-54341.827420,22328.844525
28,1764395512.558633804,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22551.385269,562.380679,-22551.385674,352817.606551,287254.328064,1.006830,12.685315,97.500000,-35122.516638,21.176281,2659.574468,376.000000,10478.722656,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-55786.480469,-25552.787109,106730159,106730911,24593.360853,-55499.071092,-61327.388005,46624.346928
29,1764395518.469177485,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22823.285699,3633.268867,-22823.285430,347147.062365,276684.397280,1.019488,-11.790582,84.500000,-35050.744167,20.088144,162234.042553,376.000000,8740.280273,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-72803.875000,-25304.205078,118565227,118565979,19269.217032,-30126.310040,-77546.260766,32696.939196
30,1764395518.514799356,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22107.970153,3737.472468,-22107.970087,347407.569654,283324.386055,1.018098,-13.645085,84.500000,-34751.647362,20.008203,228723.404255,376.000000,9078.188477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-71970.359375,-25218.255859,118565228,118565980,15460.356766,-70891.513926,-46350.194167,64864.970906
31,1764395522.290011406,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22627.919958,-3791.533903,-22627.918488,369816.330242,287091.843267,1.017470,21.619535,30.500000,-35708.359381,19.991662,143617.021277,376.000000,8728.774414,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-68304.343750,-30754.658203,126334906,126335658,14590.853568,-18731.242545,-88071.552529,18980.386224
32,1764395522.331892967,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22075.168627,-3835.554262,-22075.169212,369938.661385,298223.817058,1.015851,22.755950,30.500000,-35415.777230,20.054950,143617.021277,376.000000,9148.375000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-68304.343750,-30706.261719,126334907,126335659,9210.300457,-65064.455084,-48879.028572,28545.264956
33,1764395524.251662493,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-24016.934261,1328.987564,-24016.933381,355240.321514,280516.414941,0.977912,-76.734364,20.500000,-36231.557306,20.178567,146276.595745,376.000000,10239.690430,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-15254.343750,-33714.656250,130162174,130162926,4671.672088,-35967.311341,-79543.256031,49394.226625
