pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
25,1763945741.033074856,37,0,CD:6E:A0:0F:6C:D2,8E89BED6,-12613.498200,-12613.498200,-12613.498200,339385.201578,339385.201578,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-12613.498047,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-11305.483398,484.058441,3942048,3942800
26,1763945741.074623346,37,0,C8:DA:65:E6:40:6A,8E89BED6,-7680.844227,-7680.844227,-7680.844227,282019.626494,282019.626494,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-7680.844238,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-12546.603516,-4402.876953,4184387,4184771
27,1763945741.094596386,37,0,D4:B9:4D:DA:91:01,8E89BED6,17247.913226,17247.913226,17247.913226,314539.641006,314539.641006,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,17247.914062,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1660.406250,8005.326172,4385539,4386291
28,1763945741.100830793,37,0,FA:39:B2:6A:89:4F,8E89BED6,5709.754272,5709.754272,5709.754272,198410.175683,198410.175683,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,5709.754395,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-14824.191406,773.516235,4438480,4438864
29,1763945741.101070881,37,0,FA:39:B2:6A:89:4F,8E89BED6,5445.940868,5445.940868,5445.940868,198688.116765,198688.116765,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,5445.940918,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-14824.191406,754.078552,4438481,4438865
30,1763945741.158529282,37,0,FC:D8:16:AD:AF:F2,8E89BED6,-12301.487668,-12301.487668,-12301.487668,203556.711189,203556.711189,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-12301.487305,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-26030.474609,-15556.162109,4960234,4960618
31,1763945741.158692837,37,0,FC:D8:16:AD:AF:F2,8E89BED6,-13450.163787,-13450.163787,-13450.163787,203245.446388,203245.446388,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-13450.164062,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-37320.812500,-15555.695312,4960235,4960619
32,1763945741.161782026,37,0,C7:51:E6:62:48:91,8E89BED6,14803.843256,14803.843256,14803.843256,280031.768791,280031.768791,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,14803.842773,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,36753.753906,11179.628906,4997673,4998057
33,1763945741.161918402,37,0,C7:51:E6:62:48:91,8E89BED6,14601.598819,14601.598819,14601.598819,280453.930974,280453.930974,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,14601.598633,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,36753.753906,11151.330078,4997674,4998058
34,1763945741.226473808,37,0,FF:F2:20:71:BB:4E,8E89BED6,-17809.080135,-17809.080135,-17809.080135,205054.596655,205054.596655,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-17809.080078,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-46586.273438,-14739.660156,5455085,5455469
35,1763945741.226804256,37,0,FF:F2:20:71:BB:4E,8E89BED6,-18941.269628,-18941.269628,-18941.269628,204551.270161,204551.270161,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-18941.269531,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-46586.273438,-14738.194336,5455086,5455470
36,1763945741.340170860,37,0,C5:D8:92:67:D4:68,8E89BED6,17121.253570,17121.253570,17121.253570,192609.326450,192609.326450,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,17121.253906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,49448.839844,-2577.919678,6256702,6257086
37,1763945741.340334654,37,0,C5:D8:92:67:D4:68,8E89BED6,16300.734699,16300.734699,16300.734699,192516.486601,192516.486601,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,16300.734375,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,49448.839844,-2663.682129,6256703,6257087
38,1763945741.378256321,37,0,CC:9F:3A:B9:18:75,8E89BED6,13491.768770,13491.768770,13491.768770,183989.262940,183989.262940,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,13491.768555,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,17765.695312,14252.595703,6546428,6546812
39,1763945741.378535986,37,0,CC:9F:3A:B9:18:75,8E89BED6,13053.734208,13053.734208,13053.734208,183923.353081,183923.353081,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,13053.734375,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,16268.021484,14442.240234,6546429,6546813
