pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz
123,1769128136.399995804,37,0,56:3D:34:52:04:78,8E89BED6,SAMSUNG,780452343d5602010403025afd17165afd132df9028bfe1e2f4130e4aba70000001f2df85a,3176.829454,-4654.940897,3176.827324,347882.092145,260118.485037,0.983714,53.161673,2.500000,32430.538384,24.584376,119680.851064,376.000000,7970.708984,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,24084.541016,19035.662109,1861583,1862335,-23092.979106,42933.703523,8365.497160,16115.492669
124,1769128136.441792488,37,0,56:3D:34:52:04:78,8E89BED6,SAMSUNG,780452343d5602010403025afd17165afd132df9028bfe1e2f4130e4aba70000001f2df85a,3637.413261,-4779.546660,3637.412708,347266.421983,254526.987116,0.982539,53.952764,2.500000,32237.232266,24.552366,119680.851064,376.000000,7638.088379,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,25442.775391,18935.046875,1861584,1862336,-17483.448765,38816.123829,-5279.766128,22256.919040
125,1769128136.486921549,37,0,78:62:EF:C6:55:80,8E89BED6,SAMSUNG,8055c6ef627802010403025afd17165afd132df9026916370c7f287488a700000062822a46,12103.940766,1965.407027,12103.939926,328860.694302,248837.570385,1.141929,-2.702167,2.500000,25430.013255,24.193404,202127.659574,376.000000,13041.964844,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,23996.314453,-10048.608398,1865458,1866210,-18140.155683,58856.493466,10833.811699,3137.521471
126,1769128136.532449245,37,0,78:62:EF:C6:55:80,8E89BED6,SAMSUNG,8055c6ef627802010403025afd17165afd132df9026916370c7f287488a700000062822a46,12342.336372,2002.271262,12342.336433,327999.850628,258139.073693,1.143875,-2.660851,2.500000,25170.071254,24.143319,202127.659574,376.000000,12713.832031,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,23996.314453,-10024.695312,1865459,1866211,-15207.340475,62202.585305,4997.251014,2727.942993
130,1769128136.580393791,37,0,C2:97:A0:09:6A:11,8E89BED6,TILE,116a09a097c20201060d16edfe0200432fb7d1806c76ce0303edfe,16177.234543,5132.328507,16177.234642,227302.235275,180556.267437,0.994976,69.735638,37.500000,-1918.922620,22.433729,354729.729730,296.000000,10930.187500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-279.596252,6848.744629,1909069,1909661,6564.854092,59726.162621,8528.071026,-7962.471657
134,1769128136.613552570,37,0,5E:01:1E:29:5F:7D,8E89BED6,GOOGLE,7d5f291e015e0201061916aafe41726e70f90a8b25339bf78303500dfe2323d8e58549,-11050.010718,4196.918756,-11050.008767,354715.261311,266526.633331,0.946794,86.850845,1.000000,3493.841639,20.932774,419444.444444,360.000000,3543.402588,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-16923.001953,11513.963867,1957709,1958429,-24278.999992,-4169.477335,-3318.928795,-24199.727634
136,1769128136.658909798,37,0,6F:8F:6C:39:53:A5,8E89BED6,GOOGLE,a553396c8f6f0201061916aafe417bc577ab264834f6217c5e2a67550db304c6cef819,963.667937,2784.418229,963.666577,344201.128239,240017.105578,1.016096,-21.684484,0.500000,11001.800142,22.270181,469444.444444,360.000000,15819.224609,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,14720.638672,6588.133789,1977283,1978003,-5014.133657,51079.812911,-25633.430196,-12539.425333
137,1769128136.697788954,37,0,6F:8F:6C:39:53:A5,8E89BED6,GOOGLE,a553396c8f6f0201061916aafe417bc577ab264834f6217c5e2a67550db304c6cef819,1462.921935,3024.322946,1462.921825,343725.817483,264653.821512,1.016220,-23.124174,0.500000,10870.207920,22.304421,469444.444444,360.000000,15933.603516,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,14720.638672,6543.569336,1977284,1978004,-174.516389,39044.592464,-26506.370813,-3514.157708
143,1769128136.948279142,37,0,5B:18:CA:A4:D7:B8,8E89BED6,GOOGLE,b8d7a4ca185b0201061916aafe40a0893dc6f59df7986212a9110140263be8ac08996e,-7343.062472,16844.448775,-7343.062103,345448.141617,254496.780814,1.018794,8.826376,100.500000,25848.731909,23.867279,30555.555556,360.000000,14222.363281,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-25953.796875,-16341.912109,2097590,2098310,-23819.941667,36204.785432,-7855.540352,-5105.403823
147,1769128136.994609118,37,0,68:8E:C0:6E:F9:86,8E89BED6,SAMSUNG,86f96ec08e6802010403025afd17165afd132df902b8d92caa6cfd96a2a700000044f69592,2905.037568,5912.270453,2905.037826,366690.008993,280504.965535,1.008433,-39.755439,2.500000,22292.210736,25.878470,119680.851064,376.000000,16209.160156,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,5604.016602,7032.232422,2143523,2144275,339.446489,39148.572953,7928.494913,-21082.145467
