src_file,cluster,dev_type,segments,duration_cov,duration_span,persistence_s,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,dur_ok,unique_ok,churn_ok,rate_ok,dens_ok,decision_ok,churn_reason,k_chosen,homogeneous,homo_mac_share,homo_key_share,win_entropy_norm,uniform_ok,homo_block
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-1min.csv,3,TAG_APPLE,19,5400.0,2476.100318670273,2476.100318670273,15,0.8642857142857143,0.7333333333333333,0.16666666666666666,0.733056004896249,0.872,1.0,True,True,False,False,False,False,,4,False,0.10526315789473684,0.10526315789473684,0.6444666451998564,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-1min.csv,0,TAG_APPLE,10,5400.0,2475.176966905594,2475.176966905594,9,0.5,0.8888888888888888,0.1,0.404133797672521,0.036885245901639344,1.0,True,False,False,False,False,False,,4,False,0.2,0.2,0.581671865715156,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-2s.csv,0,TAG_APPLE,24,5400.0,2440.665539264679,2440.665539264679,15,0.6904761904761905,0.5333333333333333,0.16666666666666666,0.7973997422988024,0.835820895522388,1.0,True,True,False,False,False,False,,2,False,0.125,0.08333333333333333,0.8734790278674448,True,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-2s.csv,1,TAG_APPLE,11,5400.0,2475.176966905594,2475.176966905594,10,0.5,0.9,0.1111111111111111,0.43088528146402716,0.0345679012345679,1.0,True,False,False,False,False,False,,2,False,0.18181818181818182,0.18181818181818182,0.546294702277771,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-30s.csv,1,TAG_APPLE,23,5400.0,2423.574033498764,2423.574033498764,15,0.7261904761904763,0.5333333333333333,0.16666666666666666,0.6724313537180272,0.8345864661654135,1.0,True,True,False,False,False,False,,2,False,0.13043478260869565,0.08695652173913043,0.8359625449936682,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-30s.csv,0,TAG_APPLE,11,5400.0,2475.176966905594,2475.176966905594,10,0.5,0.9,0.1111111111111111,0.435544868272957,0.035758323057953144,1.0,True,False,False,False,False,False,,2,False,0.18181818181818182,0.18181818181818182,0.546294702277771,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-5min.csv,1,TAG_APPLE,9,5400.0,2423.574033498764,2423.574033498764,7,0.8571428571428572,0.7142857142857143,0.07777777777777778,1.0137802155024367,0.8939393939393939,1.0,True,False,False,False,True,True,,4,False,0.2222222222222222,0.1111111111111111,0.6223659728717186,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-5min.csv,0,TAG_APPLE,10,5400.0,2475.176966905594,2475.176966905594,9,0.5,0.8888888888888888,0.1,0.4326035596703343,0.030261348005502064,0.5,True,False,False,False,False,False,,4,False,0.2,0.2,0.581671865715156,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-10s.csv,1,TAG_APPLE,21,5400.0,2445.01110124588,2445.01110124588,15,0.7952380952380953,0.6666666666666666,0.16666666666666666,0.6123916130034842,0.5925925925925926,1.0,True,True,False,False,False,False,,2,False,0.14285714285714285,0.09523809523809523,0.7609029801590312,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-10s.csv,0,TAG_APPLE,11,5400.0,2475.176966905594,2475.176966905594,10,0.5,0.9,0.1111111111111111,0.44112486387267297,0.010126582278481013,1.0,True,False,False,False,False,False,,2,False,0.18181818181818182,0.18181818181818182,0.546294702277771,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-15min.csv,4,TAG_APPLE,4,1800.0,229.21850275993347,229.21850275993347,4,,1.0,0.13333333333333333,0.3903711315210416,0.0,0.0,False,False,False,False,False,False,,7,False,0.25,0.25,1.0,True,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-15min.csv,1,TAG_APPLE,6,5400.0,2474.8889949321747,2474.8889949321747,5,0.5,0.8,0.05555555555555555,0.5656443424531811,0.03636363636363636,0.5,True,False,False,False,False,False,,7,False,0.3333333333333333,0.3333333333333333,0.7896900821401168,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-1min.csv,0,TAG_APPLE,20,5400.0,2423.574033498764,2423.574033498764,15,0.8261904761904761,0.7333333333333333,0.16666666666666666,0.5779122171676353,0.5769230769230769,1.0,True,True,False,False,False,False,,2,False,0.15,0.1,0.7453115759450956,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-1min.csv,1,TAG_APPLE,11,5400.0,2475.176966905594,2475.176966905594,10,0.5,0.9,0.1111111111111111,0.44966942182167335,0.012626262626262626,1.0,True,False,False,False,False,False,,2,False,0.18181818181818182,0.18181818181818182,0.546294702277771,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-2s.csv,2,TAG_APPLE,11,1800.0,1631.053680896759,1631.053680896759,11,,1.0,0.36666666666666664,0.507952431024307,0.9166666666666666,1.0,False,False,False,False,False,False,,4,False,0.09090909090909091,0.09090909090909091,1.0,True,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-2s.csv,0,TAG_APPLE,13,5400.0,2475.176966905594,2475.176966905594,11,0.7045454545454546,0.8181818181818182,0.12222222222222222,0.531631629266142,0.014965986394557823,1.0,True,False,False,False,False,False,,4,False,0.15384615384615385,0.15384615384615385,0.6254181156210804,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-2s.csv,1,TAG_APPLE,7,5400.0,2445.01110124588,2445.01110124588,5,0.6666666666666667,0.6,0.05555555555555555,0.3564053237316872,0.8571428571428571,1.0,True,False,False,False,False,False,,4,False,0.2857142857142857,0.14285714285714285,0.9821410328321446,True,False
