file,cfo_hz,cfo_std_hz,iq_gain_alpha,iq_phase_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,mag_mean,i_std,q_std,cfo_std_hz_sym
pkt_000303.fc32,41619.843084837325,546870.5625,0.9824661016464233,-57.911116123086764,0.5,466625.0593727168,8.077432587273863,954268.2926829268,0.8839776515960693,0.7008253335952759,0.7133328914642334,540820.6394883489
pkt_000304.fc32,41619.843084837325,546870.5625,0.9824661016464233,-57.911116123086764,0.5,466625.0593727168,8.077432587273863,954268.2926829268,0.8839776515960693,0.7008253335952759,0.7133328914642334,540820.6394883489
pkt_000305.fc32,31615.019934098036,543274.3125,0.9600450992584229,-69.75392444950675,1.5,460216.43634220434,10.914050241337105,690677.9661016949,0.888844907283783,0.6925488114356995,0.7213711142539978,537710.5128497835
pkt_000306.fc32,-23284.190771564245,467100.0,0.9853944778442383,61.58428840282242,0.0,327287.45234549954,12.613671314941916,193877.55102040817,0.8882296085357666,0.701885998249054,0.7122893333435059,492647.39116323966
pkt_000307.fc32,-23284.190771564245,467100.0,0.9853944778442383,61.58428840282242,0.0,327287.45234549954,12.613671314941916,193877.55102040817,0.8882296085357666,0.701885998249054,0.7122893333435059,492647.39116323966
pkt_000308.fc32,-5509.9598495217915,492178.71875,0.9941373467445374,58.063413128297974,0.0,355600.3851958611,12.037817061671579,207720.58823529413,0.8826875686645508,0.7050248384475708,0.7091825604438782,506641.12068025715
pkt_000309.fc32,-21911.692716971727,484265.375,0.9979107975959778,47.36582054086791,1.0,340532.2901648033,12.021468867484673,191666.6666666667,0.8850122094154358,0.7063669562339783,0.7078457474708557,507088.2324524253
pkt_000310.fc32,28854.46617180352,475449.25,1.0296438932418823,0.18843527711580987,0.0,354103.9903283443,12.646045321267462,115808.82352941176,0.8867252469062805,0.7173579335212708,0.6967048645019531,487204.41341365647
pkt_000311.fc32,34555.68436184971,468412.875,1.0270776748657227,-4.4895101363968335,0.0,355143.838176597,12.293625107954721,233050.84745762713,0.8861932158470154,0.7164884209632874,0.6975990533828735,483825.5188312512
pkt_000312.fc32,56202.50091985226,494524.25,1.0338068008422852,-25.15278769663791,0.0,391139.30587854557,10.789220877037302,231707.3170731707,0.8844323754310608,0.7187613248825073,0.6952569484710693,517075.828348258
pkt_000313.fc32,41647.03577547044,469886.875,1.030455470085144,-4.557585879369524,0.0,355587.1445550513,12.024031841728814,232758.62068965516,0.8865035772323608,0.7176322340965271,0.6964223980903625,485539.9342584198
pkt_000314.fc32,56202.50091985226,494524.25,1.0338068008422852,-25.15278769663791,0.0,391139.30587854557,10.789220877037302,231707.3170731707,0.8844323754310608,0.7187613248825073,0.6952569484710693,517075.828348258
pkt_000315.fc32,28854.46617180352,475449.25,1.0296438932418823,0.18843527711580987,0.0,354103.9903283443,12.646045321267462,115808.82352941176,0.8867252469062805,0.7173579335212708,0.6967048645019531,487204.41341365647
pkt_000316.fc32,32190.461000078147,466841.75,1.0296965837478638,-8.431261313834847,0.5,354266.0035287712,12.361757565164332,233333.33333333334,0.8865391612052917,0.7173757553100586,0.6966865062713623,481249.24736731313
pkt_000317.fc32,32190.461000078147,466841.75,1.0296965837478638,-8.431261313834847,0.5,354266.0035287712,12.361757565164332,233333.33333333334,0.8865391612052917,0.7173757553100586,0.6966865062713623,481249.24736731313
pkt_000318.fc32,-14834.956248059401,544222.0,0.9740861654281616,-83.02245173498346,0.0,478920.7551433152,10.876164468490895,425847.4576271186,0.8776440024375916,0.6977644562721252,0.7163272500038147,559117.2743459882
pkt_000319.fc32,-32166.126079566515,544742.5,0.9810398817062378,-70.3018862423691,0.0,492127.9231482515,11.190619067381595,954268.2926829268,0.877035915851593,0.7003071308135986,0.7138416171073914,562721.1477705546
pkt_000320.fc32,-14834.956248059401,544222.0,0.9740861654281616,-83.02245173498346,0.0,478920.7551433152,10.876164468490895,425847.4576271186,0.8776440024375916,0.6977644562721252,0.7163272500038147,559117.2743459882
pkt_000321.fc32,-13817.815386191027,547147.1875,0.9740461111068726,-69.91874244755402,1.0,486592.7109286693,10.73817995704475,872448.9795918368,0.8785087466239929,0.6977497339248657,0.7163415551185608,560016.3169682388
pkt_000322.fc32,-17421.94019966443,547753.1875,0.9839909672737122,-74.63597884585056,0.0,472678.1787637349,10.77210076227377,909926.4705882353,0.8797004818916321,0.7013782858848572,0.7127892971038818,561175.7036343531
pkt_000323.fc32,-18218.365158619265,543256.5625,0.9789242148399353,-82.49690267551367,0.0,478429.2072802273,10.908186858403358,866666.6666666667,0.8782773613929749,0.6995363831520081,0.7145970463752747,557616.2643848871
pkt_000324.fc32,-18218.365158619265,543256.5625,0.9789242148399353,-82.49690267551367,0.0,478429.2072802273,10.908186858403358,866666.6666666667,0.8782773613929749,0.6995363831520081,0.7145970463752747,557616.2643848871
pkt_000325.fc32,-14574.79718848577,545374.625,0.979040265083313,-72.67100061892931,0.0,476961.68221551535,10.386415369372875,909274.193548387,0.8779997229576111,0.6995787024497986,0.7145556211471558,562112.5779155066
