pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
26,1763944136.143446922,37,0,D3:AA:11:C3:69:90,8E89BED6,5228.978688,5228.978688,5228.978688,353832.012493,353832.012493,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5228.978516,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,17998.769531,24344.269531,63423364,63424116
27,1763944136.594292879,37,0,D3:AA:11:C3:69:90,8E89BED6,5838.492320,5838.492320,5838.492320,334543.927206,334543.927206,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5838.492188,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-10095.376953,7373.644043,67442194,67442946
28,1763944136.594595909,37,0,D3:AA:11:C3:69:90,8E89BED6,5286.513867,5286.513867,5286.513867,334494.817120,334494.817120,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5286.513672,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-10095.376953,7308.872070,67442195,67442947
29,1763944137.045790434,37,0,D3:AA:11:C3:69:90,8E89BED6,6200.952684,6200.952684,6200.952684,343129.443391,343129.443391,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,6200.952637,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,10528.090820,20285.072266,71445090,71445842
30,1763944137.046139956,37,0,D3:AA:11:C3:69:90,8E89BED6,5677.868351,5677.868351,5677.868351,341816.691151,341816.691151,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5677.868164,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,6768.755859,20201.908203,71445091,71445843
31,1763944137.477341413,37,0,D3:AA:11:C3:69:90,8E89BED6,5710.751605,5710.751605,5710.751605,364753.940389,364753.940389,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5710.751465,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-1426.466797,17136.044922,75455089,75455841
32,1763944137.930447817,37,0,D3:AA:11:C3:69:90,8E89BED6,6121.823857,6121.823857,6121.823857,358649.734400,358649.734400,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,6121.823730,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,24962.667969,20405.396484,79466685,79467437
33,1763944137.930684090,37,0,D3:AA:11:C3:69:90,8E89BED6,5586.772589,5586.772589,5586.772589,357053.898654,357053.898654,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5586.772461,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,24962.667969,20207.166016,79466686,79467438
34,1763944138.377859354,37,0,D3:AA:11:C3:69:90,8E89BED6,5582.937828,5582.937828,5582.937828,352891.685243,352891.685243,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5582.937988,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,19169.208984,17841.441406,83482891,83483643
35,1763944138.811133385,37,0,D3:AA:11:C3:69:90,8E89BED6,5843.446608,5843.446608,5843.446608,350900.851421,350900.851421,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5843.446777,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-615.745667,19122.132812,87489978,87490730
36,1763944139.250861168,37,0,D3:AA:11:C3:69:90,8E89BED6,5527.585730,5527.585730,5527.585730,345337.923737,345337.923737,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5527.585938,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,3023.225342,15475.534180,91508807,91509559
37,1763944139.710418224,37,0,D3:AA:11:C3:69:90,8E89BED6,6000.476643,6000.476643,6000.476643,349419.222430,349419.222430,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,6000.476562,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,20391.529297,19819.878906,95523060,95523812
38,1763944139.710756540,37,0,D3:AA:11:C3:69:90,8E89BED6,5460.911119,5460.911119,5460.911119,348010.544717,348010.544717,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5460.911133,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,17967.511719,19657.781250,95523061,95523813
39,1763944140.143224239,37,0,D3:AA:11:C3:69:90,8E89BED6,5872.687722,5872.687722,5872.687722,356299.621924,356299.621924,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5872.687500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-7004.189453,-1051.641602,99523429,99524181
40,1763944140.143503666,37,0,D3:AA:11:C3:69:90,8E89BED6,5360.081647,5360.081647,5360.081647,355824.588472,355824.588472,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5360.081543,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-7004.189453,-1096.620850,99523430,99524182
