pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
22,1764278016.468107224,37,0,C9:06:43:F9:43:3F,8E89BED6,-15793.133640,4449.709681,-15793.133404,339291.749323,260616.942957,0.971942,58.330346,2.500000,8010.772264,21.007057,367021.276596,376.000000,-8813.411133,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-36712.140625,-10187.919922,52249089,52249841,-12122.876331,-53905.054305,-24296.459243,-4897.250434
23,1764278016.520458698,37,0,C9:06:43:F9:43:3F,8E89BED6,-15286.080867,4639.733452,-15286.081033,338538.947245,275698.601297,0.971267,58.987514,2.500000,7871.882417,21.020357,369680.851064,376.000000,-8665.012695,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-29463.355469,-10294.498047,52249090,52249842,9587.422870,-2596.637789,-25351.605886,-8428.274677
24,1764278018.555570602,37,0,C9:06:43:F9:43:3F,8E89BED6,-15703.492265,4417.686663,-15703.491667,329703.974472,236683.997004,1.073408,2.110050,2.500000,8002.446020,21.200344,369680.851064,376.000000,-8947.517578,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-60016.886719,-15457.747070,56250799,56251551,-10237.205593,-55431.653847,-22600.306775,-1947.714595
25,1764278018.587781429,37,0,C9:06:43:F9:43:3F,8E89BED6,-15320.635807,4606.592164,-15320.635126,329668.647617,249347.734472,1.073820,2.816307,2.500000,7862.587806,21.247824,369680.851064,376.000000,-8842.677734,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-60016.886719,-15513.804688,56250800,56251552,17114.301036,-7309.515145,-25741.713383,-12178.424098
27,1764278022.683123350,37,0,C9:06:43:F9:43:3F,8E89BED6,-16312.440474,4483.751891,-16312.440622,339062.944679,253943.419641,0.947716,-75.252071,2.500000,7613.810687,20.877798,369680.851064,376.000000,-9173.105469,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-55641.535156,-7017.844238,64041872,64042624,-13507.023627,-57644.298066,-22948.091092,-8106.133538
28,1764278022.721070528,37,0,C9:06:43:F9:43:3F,8E89BED6,-15798.604662,4664.607340,-15798.604690,337869.804452,252527.229291,0.948529,-74.363563,2.500000,7473.350858,20.889377,369680.851064,376.000000,-8984.478516,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-55327.070312,-7089.327148,64041873,64042625,11704.843796,-3904.192235,-30112.579291,-11681.180938
29,1764278024.763509750,37,0,C9:06:43:F9:43:3F,8E89BED6,-16523.609233,2888.628884,-16523.609217,354032.835534,270991.745614,1.067970,15.395955,2.500000,6803.431558,21.172949,367021.276596,376.000000,-9217.364258,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-40361.296875,-2543.506104,68057378,68058130,-23750.010874,-71401.583917,-24331.093902,26168.980941
30,1764278024.806507826,37,0,C9:06:43:F9:43:3F,8E89BED6,-16374.259851,3051.240355,-16374.259686,352463.248132,250425.126259,1.068195,15.939880,2.500000,6660.101469,21.143747,367021.276596,376.000000,-9380.708984,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-40303.882812,-2597.978271,68057379,68058131,1803.028160,-35541.358040,-30598.446784,-12451.223734
31,1764278026.550103903,37,0,C9:06:43:F9:43:3F,8E89BED6,-16745.964045,3971.790143,-16745.964604,324986.890404,231760.010453,0.961195,-71.998117,2.500000,6944.788923,20.599589,367021.276596,376.000000,-9518.624023,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-46142.871094,-12328.524414,71931381,71932133,-22097.952915,-70361.126776,-22379.712499,12913.986033
32,1764278026.584125996,37,0,C9:06:43:F9:43:3F,8E89BED6,-16482.505448,4161.013216,-16482.505310,323052.091901,242032.104739,0.962991,-71.136233,2.500000,6804.939814,20.571468,367021.276596,376.000000,-9511.420898,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-41425.718750,-12405.710938,71931382,71932134,2723.789537,-31722.373492,-30370.506086,-20157.551986
33,1764278028.631486416,37,0,C9:06:43:F9:43:3F,8E89BED6,-16400.207140,3234.497096,-16400.206204,347504.941534,268544.680028,0.961723,-65.076872,2.500000,7273.593349,21.365490,367021.276596,376.000000,-8703.166016,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-4361.404297,4525.556152,75944354,75945106,-23936.885633,-67033.337088,-23030.208955,22119.793308
34,1764278028.681611538,37,0,C9:06:43:F9:43:3F,8E89BED6,-16199.193828,3412.153463,-16199.193498,347362.135654,262934.620998,0.963147,-64.218145,2.500000,7132.955198,21.320199,367021.276596,376.000000,-8755.423828,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-1998.555420,4396.160156,75944355,75945107,1008.895498,-31741.401050,-30179.297145,-13522.585250
35,1764278030.700627089,37,0,C9:06:43:F9:43:3F,8E89BED6,-15949.031133,4364.546501,-15949.030885,333756.354835,266160.265055,0.995171,47.565943,2.500000,7569.948166,21.158159,369680.851064,376.000000,-8505.032227,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-10580.775391,-234.573700,79955856,79956608,-11549.823174,-49025.350952,-22949.569562,-10985.454527
36,1764278032.869580269,37,0,C9:06:43:F9:43:3F,8E89BED6,-16444.705785,4859.089169,-16444.705733,360795.275593,291777.124653,0.946310,66.861177,3.000000,7032.255877,21.474522,369680.851064,376.000000,-9071.174805,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-10076.065430,-9895.244141,83815173,83815925,-7114.073856,-43248.720834,-26912.245272,-6273.137703
