src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.5,pass_dens_ge_0.7,pass_dens_ge_0.9,pass_dens_ge_1.1,pass_dens_ge_1.3,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-10s_rot-2s.csv,1,TAG_APPLE,5,1800.0,5,,,,1.767629384288933,1.0,1.0,10.0,2.0,10s,2s,True,True,True,True,True,True,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-1min_rot-5min.csv,2,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,60.0,300.0,1min,5min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-2s_rot-2s.csv,3,TAG_APPLE,7,1800.0,7,,,,1.7914480158334571,1.0,1.0,2.0,2.0,2s,2s,True,True,True,True,True,True,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-10s_rot-5min.csv,0,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,10.0,300.0,10s,5min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-10s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,10.0,900.0,10s,15min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-15s_rot-30s.csv,2,TAG_APPLE,10,3600.0,10,,,,3.0948223822564813,1.0,1.0,15.0,30.0,15s,30s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-10s_rot-1min.csv,1,TAG_APPLE,4,1800.0,4,,,,6.666666622222222,1.0,1.0,10.0,60.0,10s,1min,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-15s_rot-1min.csv,2,TAG_APPLE,5,1800.0,5,,,,2.705155090640618,1.0,1.0,15.0,60.0,15s,1min,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-1min_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,60.0,900.0,1min,15min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-1min_rot-1min.csv,2,TAG_APPLE,4,1800.0,4,,,,1.922420978075389,1.0,1.0,60.0,60.0,1min,1min,True,True,True,True,True,True,True,False
