file,adv_addr,pdu_type,access_address,pcap_ts,bw_3db_hz,cfo_centroid_hz,cfo_hz,cfo_preaa_hz,cfo_std_hz,cfo_std_hz_sym,cfo_two_stage_coarse_hz,cfo_two_stage_hz,cfo_two_stage_score,gated_len_us,i_std,iq_gain_alpha,iq_phase_deg,mag_mean,psd_centroid_hz,psd_pnr_db,q_std,rise_time_us
pkt_000054.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613522.105563,7653.061224489797,2951.3991588503986,27161.65358947856,56727.519537240834,566633.0625,394615.6373584582,1002.7568157944277,nan,0.4499999999998576,392.0,0.7220727205276489,1.0437335968017578,-35.351313293201265,0.8809189796447754,12466.057554618723,13.837759419426792,0.6918171048164368,0.5
pkt_000055.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613522.720773,1456632.6530612246,2019.3984079777283,1687.9949866564782,17595.09616729483,562102.8125,402137.9644310355,-6635.333656766951,nan,0.4499999999998576,392.0,0.7092644572257996,1.0061309337615967,29.415249954664805,0.8821942210197449,20834.01775272266,12.136651914716383,0.7049424648284912,1.0
pkt_000056.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613523.290863,0.0,-13656.933479037301,-40217.410777569836,-7038.193331970989,545857.625,379340.06213772506,-7588.3878041285325,nan,0.39999999999987346,392.0,0.7159751653671265,1.0255677700042725,-31.394192270043963,0.8951925039291382,-43591.232675992964,13.926983164297921,0.6981256604194641,0.5
pkt_000057.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613523.291256,0.0,-13656.933479037301,-40217.410777569836,-7038.193331970989,545857.625,379340.06213772506,-7588.3878041285325,nan,0.39999999999987346,392.0,0.7159751653671265,1.0255677700042725,-31.394192270043963,0.8951925039291382,-43591.232675992964,13.926983164297921,0.6981256604194641,0.5
pkt_000059.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613523.825249,7653.061224489797,-266.27824360227214,-41363.990838990336,-5371.701879681924,554489.75,378984.0776529726,4527.093006999607,nan,0.4499999999998576,392.0,0.7103614807128906,1.0092698335647583,-40.99476234000339,0.8767197132110596,28850.534618159934,12.97666824256513,0.7038370966911316,0.5
pkt_000060.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613523.825453,7653.061224489797,-266.27824360227214,-41363.990838990336,-5371.701879681924,554489.75,378984.0776529726,4527.093006999607,nan,0.4499999999998576,392.0,0.7103614807128906,1.0092698335647583,-40.99476234000339,0.8767197132110596,28850.534618159934,12.97666824256513,0.7038370966911316,0.5
pkt_000061.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613524.338035,1535714.285714286,16526.819150428924,-51052.08768290491,nan,566247.4375,386872.63439599186,8956.943794008746,-55991.95221164711,0.4999999999998418,392.0,0.726694643497467,1.0578404664993286,5.603345095004377,0.8848352432250977,-22465.28765759916,10.116099117595606,0.6869605779647827,0.5
pkt_000062.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613524.844409,0.0,-6724.7552805716705,8157.444336134323,nan,556726.125,375708.83247117285,3489.5923705743908,-25228.388359756984,0.4999999999998418,392.0,0.7316112518310547,1.0731812715530396,15.01290431684592,0.8858879208564758,-14968.841675845017,13.86357437493711,0.6817219853401184,0.0
pkt_000063.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613524.844528,0.0,-6724.7552805716705,8157.444336134323,nan,556726.125,375708.83247117285,3489.5923705743908,-25228.388359756984,0.4999999999998418,392.0,0.7316112518310547,1.0731812715530396,15.01290431684592,0.8858879208564758,-14968.841675845017,13.86357437493711,0.6817219853401184,0.0
pkt_000064.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613525.327248,1691326.5306122452,-3305.0434514091003,-7582.223828346158,nan,571099.4375,405087.78239311813,-3362.5202638902524,40673.467097281326,0.4999999999998418,392.0,0.7191781997680664,1.035048246383667,-3.39119202050117,0.8748659491539001,-6118.901693560171,10.802685855342641,0.6948257684707642,0.5
