src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.5,pass_dens_ge_0.7,pass_dens_ge_0.9,pass_dens_ge_1.1,pass_dens_ge_1.3,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-30s_rot-10s.csv,0,TAG_APPLE,9,1800.0,9,,,,4.103440953943341,1.0,1.0,30.0,10.0,30s,10s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-30s_rot-2s.csv,0,TAG_APPLE,9,1800.0,9,,,,4.103440953943341,1.0,1.0,30.0,2.0,30s,2s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-2s_rot-10s.csv,1,TAG_APPLE,30,1800.0,30,,,,5.0138228680250325,1.0,1.0,2.0,10.0,2s,10s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-30s_rot-30s.csv,1,TAG_APPLE,10,1800.0,10,,,,4.59277401170339,1.0,1.0,30.0,30.0,30s,30s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-2s_rot-2s.csv,1,TAG_APPLE,62,1800.0,62,,,,3.7868710306542686,1.0,1.0,2.0,2.0,2s,2s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-10s_rot-10s.csv,6,TAG_APPLE,14,3600.0,14,,,,1.2211928257925047,1.0,1.0,10.0,10.0,10s,10s,True,True,True,True,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-10s_rot-1min.csv,2,TAG_APPLE,4,1800.0,4,,,,0.6686713003541231,1.0,1.0,10.0,60.0,10s,1min,True,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-10s_rot-30s.csv,1,TAG_APPLE,8,1800.0,8,,,,1.1518377047425048,1.0,1.0,10.0,30.0,10s,30s,True,True,True,True,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-15s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,15.0,900.0,15s,15min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-15s_rot-10s.csv,6,TAG_APPLE,9,1800.0,9,,,,1.6367919328458511,1.0,1.0,15.0,10.0,15s,10s,True,True,True,True,True,True,False,False
