pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz
182491,1769216957.282881021,37,0,58:0B:68:2F:E6:67,8E89BED6,SAMSUNG,67e62f680b5802010403025afd17165afd1321f9026916370c7f287488a700000048b23d2d,9253.420001,911.828066,9253.420596,338797.284949,272128.463701,1.163488,5.425096,2.500000,13508.375477,22.570310,324468.085106,376.000000,13446.208008,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,78532.992188,19179.382812,2961415608,2961416360,-7362.926035,16531.984668,24541.641070,-1287.836887
182495,1769216957.324216604,37,0,48:CC:87:99:A3:11,8E89BED6,GOOGLE,11a39987cc480201061916aafe411d5170599a7553f6497c796f524c58a83ef831b72e,-39699.087212,2204.655741,-39699.088900,344554.339189,253125.166566,1.001268,-43.303617,1.000000,-36036.289065,20.858958,375000.000000,360.000000,-6898.515625,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-79719.953125,-31843.398438,2961481296,2961482016,15932.488405,-50508.433357,-78546.179143,-51237.955506
182496,1769216957.355130196,37,0,48:CC:87:99:A3:11,8E89BED6,GOOGLE,11a39987cc480201061916aafe411d5170599a7553f6497c796f524c58a83ef831b72e,-39108.988681,2427.856326,-39108.990541,344486.601234,275003.412381,1.001695,-42.921959,1.000000,-36194.672827,20.896833,375000.000000,360.000000,-6930.729492,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-76369.960938,-31931.101562,2961481297,2961482017,24016.704417,-50257.916002,-67315.903396,-69767.565970
182512,1769216957.634261847,37,0,DA:08:C5:B7:04:F7,8E89BED6,APPLE,f704b7c508da1eff4c0012191057768ed391a246b1558fd0cddcb979bebc45a1b9a53c00de,-5057.719939,3603.106078,-5057.721666,354037.808570,276826.365099,0.928905,-67.833605,2.500000,17753.029418,22.255634,329787.234043,376.000000,1913.188477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-7408.011230,3325.645752,2961734844,2961735596,6623.613766,-47050.913735,-2095.463083,34511.521314
182513,1769216957.673776627,37,0,6F:38:AD:DB:7E:82,8E89BED6,SAMSUNG,827edbad386f02010403025afd17165afd1321f902b8d92caa6cfd96a2a7000000e3707c49,21413.371998,8562.320266,21413.370819,316003.444688,247908.014051,0.994970,50.534273,2.500000,46884.037621,24.965492,170212.765957,376.000000,25509.458984,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,32433.412109,16253.361328,2961823622,2961824374,13207.735558,36707.643574,25617.140460,23277.138005
182514,1769216957.709912539,37,0,6F:38:AD:DB:7E:82,8E89BED6,SAMSUNG,827edbad386f02010403025afd17165afd1321f902b8d92caa6cfd96a2a7000000e3707c49,21838.537758,8799.296472,21838.538052,316039.532801,252324.892160,0.996542,49.010271,2.500000,46704.171258,24.946189,170212.765957,376.000000,25436.902344,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,32433.412109,16294.966797,2961823623,2961824375,4834.798765,41123.498286,44133.428871,9173.166950
182533,1769216957.981338263,37,0,C2:97:A0:09:6A:11,8E89BED6,TILE,116a09a097c20201060d16edfe0200b6301e3e80e226ee0303edfe,22490.299726,7953.565350,22490.301435,290041.306179,240005.745163,1.028316,3.694852,40.500000,5688.954997,22.389212,351351.351351,296.000000,13527.474609,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,27346.664062,7551.773438,2962087206,2962087798,3380.110636,61326.393134,15895.767383,21331.082516
182536,1769216958.014769077,37,0,5E:01:1E:29:5F:7D,8E89BED6,GOOGLE,7d5f291e015e0201061916aafe41d2eff535e94dd624d43e07716ad94ec37a521dc8c7,-739.744514,1238.370017,-739.745087,364301.650050,262543.284286,1.022553,4.575061,1.000000,4166.394247,22.095592,255555.555556,360.000000,9494.103516,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-18854.021484,-16071.910156,2962139682,2962140402,12475.551710,-27606.328303,10829.552017,10376.924513
182543,1769216958.053736687,37,0,DC:EB:42:AA:4A:42,8E89BED6,APPLE,424aaa42ebdc1eff4c0012192058f4a1db33445b6d87271faa25e6ff3650d25231e5550289,28159.491476,13160.452539,28159.491159,321165.205937,236704.256184,1.041816,-20.941413,3.500000,40384.317920,24.331079,303191.489362,376.000000,16106.999023,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,42612.593750,26146.166016,2962221151,2962221903,12181.045033,21088.343920,46937.248367,36321.770701
182558,1769216958.112195015,37,0,4B:7E:DD:03:C0:83,8E89BED6,GOOGLE,83c003dd7e4b0201061916aafe41688ba73deef38a2175ef922dcfca7733c004e909f2,1250.110549,5584.379814,1250.108985,353319.390156,256532.158333,1.007482,41.923799,1.000000,5678.241557,21.864744,527777.777778,360.000000,9143.984375,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,10221.827148,-2512.910889,2962493624,2962494344,-32680.924813,46495.080441,-17965.522786,-14514.324436
