idx	AdvA	status	method	crc_calc_orig_hex	crc_rx_hex	fix_pos	fix_bit	hp_msb_hex_fixed_or_padded	crc_field_msb_hex_shifted	pad_bits
13439	E9:5A:FB:9E:46:7A	CRC_BAD	UNFIXED	675808	125712					
13440	7C:24:AF:57:9B:5D	ORIG_OK	ORIG_OK	919f80	919f80					
13441	74:4A:24:AF:44:A3	CRC_BAD	UNFIXED	a138c1	abbaac					
13442	D5:30:D6:9E:D7:F2	CRC_BAD	UNFIXED	5754a4	c81826					
13443	C5:68:6B:99:6A:C5	ORIG_OK	ORIG_OK	bc4d49	bc4d49					
13444	75:B8:72:33:E8:54	CRC_BAD	UNFIXED	c22d15	7a1919					
13445	D0:6D:78:47:39:4F	CRC_BAD	UNFIXED	7a45e8	52c3f4					
13446	7A:74:59:67:94:F4	ORIG_OK	ORIG_OK	5a662a	5a662a					
13447	CB:F7:96:33:13:13	CRC_BAD	UNFIXED	e8db34	91da07					
13448	44:27:8B:7A:64:72	CRC_BAD	UNFIXED	b41671	203c43					
13449	C6:70:C1:4D:DA:68	CRC_BAD	UNFIXED	634141	6eae23					
13450	7D:C9:C0:BD:85:B3	ORIG_OK	ORIG_OK	df233b	df233b					
13451	F6:FE:7E:BD:D0:B3	ORIG_OK	ORIG_OK	42b023	42b023					
13452	57:A4:BC:C5:0D:C9	CRC_BAD	UNFIXED	f27ed8	79564b					
13453	52:41:32:8B:83:1E	CRC_BAD	UNFIXED	932a29	70e408					
13454	DC:D6:44:C7:D7:A6	ORIG_OK	ORIG_OK	4aea26	4aea26					
13455	CE:AA:AB:D2:FC:09	CRC_BAD	UNFIXED	c44170	ff36ea					
13456	52:5C:3A:99:8C:AB	ORIG_OK	ORIG_OK	da872a	da872a					
13457	E9:5A:FB:9E:06:7C	CRC_BAD	UNFIXED	f99b83	325712					
13458	74:4A:24:AF:44:A3	CRC_BAD	UNFIXED	a041f6	abbaac					
13459		CRC_BAD	UNFIXED	d2b2b3	bc4d49					
13460	52:92:A9:3D:A7:4C	CRC_BAD	UNFIXED	445eb0	2f3093					
13461	75:B8:72:33:E8:54	CRC_BAD	UNFIXED	662224	7a1919					
13462	D0:6D:78:47:39:4F	CRC_BAD	UNFIXED	486fc8	52c3f4					
13463	CB:F7:96:33:13:13	CRC_BAD	UNFIXED	75399f	e59a28					
13464	44:27:8B:7A:64:72	CRC_BAD	UNFIXED	a51ec3	203c43					
13465	C6:70:C1:4D:DA:68	CRC_BAD	UNFIXED	6ba2b9	6eae23					
13466	FF:E8:62:AC:0E:D2	ORIG_OK	ORIG_OK	c9574c	c9574c					
13467	7D:C9:C0:BD:85:B3	CRC_BAD	UNFIXED	4b33db	df233b					
13468	DD:32:8F:12:9C:BD	CRC_BAD	UNFIXED	5cee4f	08b5a0					
13469		CRC_BAD	UNFIXED	5e3cd9	544326					
13470	F6:FE:7E:BD:D0:92	CRC_BAD	UNFIXED	7b66e5	42b023					
13471	57:A4:BC:C5:0D:C9	CRC_BAD	UNFIXED	0c5951	79564b					
13472	CE:AA:AB:D2:FB:C9	CRC_BAD	UNFIXED	b9379f	c4581c					
13473	52:5C:3A:99:8C:AB	CRC_BAD	UNFIXED	80d2a8	ca862e					
13474	F0:E3:99:3D:ED:D2	CRC_BAD	UNFIXED	b7537a	efa1bf					
13475	E9:5A:FB:9E:46:3C	CRC_BAD	UNFIXED	ecac27	24cca2					
13476	74:4A:24:AF:44:A3	ORIG_OK	ORIG_OK	abbaac	abbaac					
13477	D5:30:D6:9E:97:F2	CRC_BAD	UNFIXED	f5c972	c80b38					
13478	C5:68:6B:99:6A:C5	CRC_BAD	UNFIXED	fa4657	bc4d49					
13479	52:92:A9:3D:A7:4C	CRC_BAD	UNFIXED	33302e	2f30b5					
13480	75:B8:72:33:E8:54	CRC_BAD	UNFIXED	e59f61	7a1919					
13481	F6:72:62:ED:92:3D	CRC_BAD	UNFIXED	2dbd28	29e421					
13482	C2:97:A0:09:6A:11	ORIG_OK	ORIG_OK	50f847	50f847					
13483	D0:6D:78:47:39:4F	CRC_BAD	UNFIXED	fd84dc	52c3f4					
13484	7A:74:59:67:94:F4	ORIG_OK	ORIG_OK	5a662a	5a662a					
13485	54:27:8B:7A:64:72	CRC_BAD	UNFIXED	418c55	203c43					
13486	C6:70:C1:4D:DA:68	CRC_BAD	UNFIXED	a69130	6ea223					
13487	4A:01:B9:78:EA:1D	CRC_BAD	UNFIXED	ddf996	055bf2					
13488	7D:C9:C0:BD:85:B3	ORIG_OK	ORIG_OK	df233b	df233b					
13489	EA:32:7A:C5:8D:BF	CRC_BAD	UNFIXED	ddb86c	544326					
13490	F6:FE:7E:BD:D0:B3	CRC_BAD	UNFIXED	93a920	42b023					
13491	57:A4:BC:C5:0D:C9	CRC_BAD	UNFIXED	aeecc0	79144f					
13492	52:41:32:8B:83:1E	ORIG_OK	ORIG_OK	70e408	70e408					
13493	F4:0A:68:DD:7E:C0	CRC_BAD	UNFIXED	7fa416	7fa420					
13494	73:F8:F0:FA:28:49	ORIG_OK	ORIG_OK	57c0e9	57c0e9					
13495	DC:D6:44:C7:D7:A6	ORIG_OK	ORIG_OK	4aea26	4aea26					
13496	52:5C:3A:99:8C:AB	CRC_BAD	UNFIXED	10c967	da872a					
13497	E9:5A:FB:9A:62:7C	CRC_BAD	UNFIXED	ff4921	025712					
13498	74:4A:24:AF:C4:A3	CRC_BAD	UNFIXED	b5b2e5	2c8aac					
13499	52:92:A9:3D:A7:4C	CRC_BAD	UNFIXED	2f3093	0f20e3					
13500	75:BA:72:33:E8:54	CRC_BAD	UNFIXED	87c5e4	7a1919					
13501	C2:97:A0:09:6A:11	ORIG_OK	ORIG_OK	50f847	50f847					
13502	D0:71:38:47:39:4F	CRC_BAD	UNFIXED	c21588	52c3f4					
13503	CB:F7:96:33:13:13	ORIG_OK	ORIG_OK	e59a28	e59a28					
13504	44:27:8B:7A:64:72	ORIG_OK	ORIG_OK	203c43	203c43					
13505	C6:70:C1:4D:DA:68	ORIG_OK	ORIG_OK	6eae23	6eae23					
13506	DC:D9:17:9B:A7:45	ORIG_OK	ORIG_OK	d521c8	d521c8					
13507	4A:01:B9:78:EA:1D	CRC_BAD	UNFIXED	77cbeb	b41fba					
13508	7D:C9:C0:BD:85:B3	CRC_BAD	UNFIXED	df233b	d1233b					
13509	EA:32:7A:C5:8D:BF	CRC_BAD	UNFIXED	544326	54430a					
13510	F6:FE:7E:BD:D0:B3	CRC_BAD	UNFIXED	830f74	42b023					
13511	53:A4:BC:85:0D:C9	CRC_BAD	UNFIXED	1b79da	79560b					
13512	52:41:32:8B:83:1E	CRC_BAD	UNFIXED	9dbbb5	70e408					
13513	DC:D6:44:C7:D7:A6	CRC_BAD	UNFIXED	743b92	4aea26					
13514	CE:AA:AB:D2:FC:09	CRC_BAD	UNFIXED	651405	c4581c					
13515	52:5C:3A:99:8C:AB	CRC_BAD	UNFIXED	d0a6ad	da872a					
13516	7C:24:AF:57:9B:5D	CRC_BAD	UNFIXED	7160e5	919f5a					
13517	E9:5A:FB:9E:46:7C	CRC_BAD	UNFIXED	ec9952	125712					
13518	74:4A:24:AF:44:A3	CRC_BAD	UNFIXED	50fc7c	abbaac					
13519	D5:30:D6:9E:D7:F2	ORIG_OK	ORIG_OK	c9eb38	c9eb38					
13520	52:92:A9:3D:A7:4C	CRC_BAD	UNFIXED	5c7358	2f3093					
13521	C5:68:6B:99:6A:C5	ORIG_OK	ORIG_OK	bc4d49	bc4d49					
13522	75:B8:72:33:E8:54	CRC_BAD	UNFIXED	52d0dd	04369c					
13523	F6:72:62:ED:92:3D	ORIG_OK	ORIG_OK	29e421	29e421					
13524	D0:6D:78:47:39:4F	CRC_BAD	UNFIXED	46d4ea	fe49bf					
13525	CB:F7:96:33:13:13	CRC_BAD	UNFIXED	167639	e59a28					
13526	44:27:8B:7A:64:72	CRC_BAD	UNFIXED	ef1afa	4f4a0c					
13527	C6:70:C1:4D:DA:68	CRC_BAD	UNFIXED	eb92f1	6eae23					
13528	FF:E8:62:AC:2E:D2	CRC_BAD	UNFIXED	b113d8	c9574c					
13529	4A:01:B9:78:EA:1D	CRC_BAD	UNFIXED	f3fd9f	b41fba					
13530	DD:32:8F:12:9C:BD	ORIG_OK	ORIG_OK	0897a3	0897a3					
13531	EA:32:7A:C5:8D:BF	ORIG_OK	ORIG_OK	544326	544326					
13532	F6:FE:7E:BD:D0:B3	CRC_BAD	UNFIXED	4d82d7	52b023					
13533	53:A4:BC:C5:0D:C9	CRC_BAD	UNFIXED	49b058	79564b					
13534	52:41:32:8B:83:1E	CRC_BAD	UNFIXED	43b1f5	5f604a					
13535	F4:0A:68:DD:7E:C0	ORIG_OK	ORIG_OK	7fa416	7fa416					
13536	DC:D6:44:C7:D7:A6	ORIG_OK	ORIG_OK	4aea26	4aea26					
13537	CE:AA:AB:D2:FC:09	CRC_BAD	UNFIXED	73cc7a	c4581c					
13538	52:5C:3A:99:8C:AB	ORIG_OK	ORIG_OK	da872a	da872a					
13539	F0:E3:99:3D:ED:D2	ORIG_OK	ORIG_OK	efa1bf	efa1bf					
13540	7C:24:AF:57:9B:5D	CRC_BAD	UNFIXED	7ec82d	919f80					
13541	E9:5A:FB:9E:46:7C	CRC_BAD	UNFIXED	7f1438	88728a					
13542	74:4A:24:AF:44:A3	CRC_BAD	UNFIXED	54bea6	abbaac					
13543	52:92:A9:3D:A7:4C	CRC_BAD	UNFIXED	8fbc40	2f3093					
13544	C5:68:6B:99:6A:C5	ORIG_OK	ORIG_OK	bc4d49	bc4d49					
13545	75:B8:72:33:E8:54	ORIG_OK	ORIG_OK	7a1919	7a1919					
13546	F6:72:62:ED:92:3D	CRC_BAD	UNFIXED	9f2721	29f421					
13547	D0:6D:78:47:39:4F	ORIG_OK	ORIG_OK	52c3f4	52c3f4					
13548	CB:F7:96:33:13:13	CRC_BAD	UNFIXED	05c344	e59a28					
13549	C6:70:C1:4D:DA:68	CRC_BAD	UNFIXED	a56c5c	6eae23					
13550	0A:01:B9:78:EA:1D	CRC_BAD	UNFIXED	9d34d8	055bf0					
13551	DD:32:8F:12:9C:BD	CRC_BAD	UNFIXED	0fd134	0897a3					
13552	F6:FE:7E:BD:D0:B3	CRC_BAD	UNFIXED	f703c4	42b023					
13553	57:A4:BC:C5:0D:C9	CRC_BAD	UNFIXED	734f7f	79564b					
13554	52:41:32:8B:83:1E	CRC_BAD	UNFIXED	7ce750	70e40a					
13555	73:7A:10:FA:28:49	CRC_BAD	UNFIXED	a18a0e	57c0e9					
13556	F4:0A:68:DD:7E:C0	CRC_BAD	UNFIXED	9f64c4	7fa416					
13557	CE:AA:AB:D2:FC:09	CRC_BAD	UNFIXED	b4860f	c5c82c					
13558	F0:E3:99:3D:ED:D2	CRC_BAD	UNFIXED	27e1c9	efa1bf					
13559	74:4A:24:AF:C5:A3	CRC_BAD	UNFIXED	90bb18	abbaac					
13560	D5:30:D6:9E:D7:F2	CRC_BAD	UNFIXED	e16c82	c9eb38					
