n,I,Q,mag,phase
131,-0.0412877947,0.0437617227,0.0601645275,2.3271146
132,-0.0412877947,0.0437617227,0.0601645275,2.3271146
133,-0.0412877947,0.0437617227,0.0601645275,2.3271146
134,-0.0412877947,0.0437617227,0.0601645275,2.3271146
135,-0.0412877947,0.0437617227,0.0601645275,2.3271146
136,-0.0412877947,0.0437617227,0.0601645275,2.3271146
137,-0.0412877947,0.0437617227,0.0601645275,2.3271146
138,-0.0412877947,0.0437617227,0.0601645275,2.3271146
139,-0.0412877947,0.0437617227,0.0601645275,2.3271146
140,-0.0412877947,0.0437617227,0.0601645275,2.3271146
141,-0.0412877947,0.0437617227,0.0601645275,2.3271146
142,-0.0412877947,0.0437617227,0.0601645275,2.3271146
143,-0.0412877947,0.0437617227,0.0601645275,2.3271146
144,-0.0412877947,0.0437617227,0.0601645275,2.3271146
145,-0.0412877947,0.0437617227,0.0601645275,2.3271146
146,-0.0412877947,0.0437617227,0.0601645275,2.3271146
147,-0.0412877947,0.0437617227,0.0601645275,2.3271146
148,-0.0412877947,0.0437617227,0.0601645275,2.3271146
149,-0.0412877947,0.0437617227,0.0601645275,2.3271146
150,-0.0412877947,0.0437617227,0.0601645275,2.3271146
151,-0.0412877947,0.0437617227,0.0601645275,2.3271146
152,-0.0412877947,0.0437617227,0.0601645275,2.3271146
153,-0.0412877947,0.0437617227,0.0601645275,2.3271146
154,-0.0412877947,0.0437617227,0.0601645275,2.3271146
155,-0.0412877947,0.0437617227,0.0601645275,2.3271146
156,-0.0412877947,0.0437617227,0.0601645275,2.3271146
157,-0.0412877947,0.0437617227,0.0601645275,2.3271146
158,-0.0412877947,0.0437617227,0.0601645275,2.3271146
159,-0.0412877947,0.0437617227,0.0601645275,2.3271146
160,-0.0412877947,0.0437617227,0.0601645275,2.3271146
161,-0.0412877947,0.0437617227,0.0601645275,2.3271146
162,-0.0412877947,0.0437617227,0.0601645275,2.3271146
163,-0.0412877947,0.0437617227,0.0601645275,2.3271146
164,-0.0412877947,0.0437617227,0.0601645275,2.3271146
165,-0.0412877947,0.0437617227,0.0601645275,2.3271146
166,-0.0412877947,0.0437617227,0.0601645275,2.3271146
167,-0.0412877947,0.0437617227,0.0601645275,2.3271146
168,-0.0412877947,0.0437617227,0.0601645275,2.3271146
169,-0.0412877947,0.0437617227,0.0601645275,2.3271146
170,-0.0412877947,0.0437617227,0.0601645275,2.3271146
171,-0.0412877947,0.0437617227,0.0601645275,2.3271146
172,-0.0412877947,0.0437617227,0.0601645275,2.3271146
173,-0.0412877947,0.0437617227,0.0601645275,2.3271146
174,-0.0412877947,0.0437617227,0.0601645275,2.3271146
175,-0.0412877947,0.0437617227,0.0601645275,2.3271146
176,-0.0412877947,0.0437617227,0.0601645275,2.3271146
177,-0.0412877947,0.0437617227,0.0601645275,2.3271146
178,-0.0412877947,0.0437617227,0.0601645275,2.3271146
179,-0.0412877947,0.0437617227,0.0601645275,2.3271146
180,-0.0412877947,0.0437617227,0.0601645275,2.3271146
181,-0.0412877947,0.0437617227,0.0601645275,2.3271146
182,-0.0412877947,0.0437617227,0.0601645275,2.3271146
183,-0.0412877947,0.0437617227,0.0601645275,2.3271146
184,-0.0412877947,0.0437617227,0.0601645275,2.3271146
185,-0.0412877947,0.0437617227,0.0601645275,2.3271146
186,-0.0412877947,0.0437617227,0.0601645275,2.3271146
187,-0.0412877947,0.0437617227,0.0601645275,2.3271146
188,-0.0412877947,0.0437617227,0.0601645275,2.3271146
189,-0.0412877947,0.0437617227,0.0601645275,2.3271146
190,-0.0412877947,0.0437617227,0.0601645275,2.3271146
191,-0.0412877947,0.0437617227,0.0601645275,2.3271146
192,-0.0412877947,0.0437617227,0.0601645275,2.3271146
193,-0.0412877947,0.0437617227,0.0601645275,2.3271146
194,-0.0412877947,0.0437617227,0.0601645275,2.3271146
195,-0.0412877947,0.0437617227,0.0601645275,2.3271146
196,-0.0412877947,0.0437617227,0.0601645275,2.3271146
197,-0.0412877947,0.0437617227,0.0601645275,2.3271146
198,-0.0412877947,0.0437617227,0.0601645275,2.3271146
199,-0.0412877947,0.0437617227,0.0601645275,2.3271146
200,-0.0412877947,0.0437617227,0.0601645275,2.3271146
201,-0.0412877947,0.0437617227,0.0601645275,2.3271146
202,-0.0412877947,0.0437617227,0.0601645275,2.3271146
203,-0.0412877947,0.0437617227,0.0601645275,2.3271146
204,-0.0412877947,0.0437617227,0.0601645275,2.3271146
205,-0.0412877947,0.0437617227,0.0601645275,2.3271146
206,-0.0412877947,0.0437617227,0.0601645275,2.3271146
207,-0.0412877947,0.0437617227,0.0601645275,2.3271146
208,-0.0412877947,0.0437617227,0.0601645275,2.3271146
209,-0.0412877947,0.0437617227,0.0601645275,2.3271146
210,-0.0412877947,0.0437617227,0.0601645275,2.3271146
211,-0.0412877947,0.0437617227,0.0601645275,2.3271146
212,-0.0412877947,0.0437617227,0.0601645275,2.3271146
213,-0.0412877947,0.0437617227,0.0601645275,2.3271146
214,-0.0412877947,0.0437617227,0.0601645275,2.3271146
215,-0.0412877947,0.0437617227,0.0601645275,2.3271146
216,-0.0412877947,0.0437617227,0.0601645275,2.3271146
217,-0.0412877947,0.0437617227,0.0601645275,2.3271146
218,-0.0412877947,0.0437617227,0.0601645275,2.3271146
219,-0.0412877947,0.0437617227,0.0601645275,2.3271146
220,-0.0412877947,0.0437617227,0.0601645275,2.3271146
221,-0.0412877947,0.0437617227,0.0601645275,2.3271146
222,-0.0412877947,0.0437617227,0.0601645275,2.3271146
223,-0.0412877947,0.0437617227,0.0601645275,2.3271146
224,-0.0412877947,0.0437617227,0.0601645275,2.3271146
225,-0.0412877947,0.0437617227,0.0601645275,2.3271146
226,-0.0412877947,0.0437617227,0.0601645275,2.3271146
227,-0.0412877947,0.0437617227,0.0601645275,2.3271146
228,-0.0412877947,0.0437617227,0.0601645275,2.3271146
229,-0.0412877947,0.0437617227,0.0601645275,2.3271146
230,-0.0412877947,0.0437617227,0.0601645275,2.3271146
231,-0.0412877947,0.0437617227,0.0601645275,2.3271146
232,-0.0412877947,0.0437617227,0.0601645275,2.3271146
233,-0.0412877947,0.0437617227,0.0601645275,2.3271146
234,-0.0412877947,0.0437617227,0.0601645275,2.3271146
235,-0.0412877947,0.0437617227,0.0601645275,2.3271146
236,-0.0412877947,0.0437617227,0.0601645275,2.3271146
237,-0.0412877947,0.0437617227,0.0601645275,2.3271146
238,-0.0412877947,0.0437617227,0.0601645275,2.3271146
239,-0.0412877947,0.0437617227,0.0601645275,2.3271146
240,-0.0412877947,0.0437617227,0.0601645275,2.3271146
241,-0.0412877947,0.0437617227,0.0601645275,2.3271146
242,-0.0412877947,0.0437617227,0.0601645275,2.3271146
243,-0.0412877947,0.0437617227,0.0601645275,2.3271146
244,-0.0412877947,0.0437617227,0.0601645275,2.3271146
245,-0.0412877947,0.0437617227,0.0601645275,2.3271146
246,-0.0412877947,0.0437617227,0.0601645275,2.3271146
247,-0.0412877947,0.0437617227,0.0601645275,2.3271146
248,-0.0412877947,0.0437617227,0.0601645275,2.3271146
249,-0.0412877947,0.0437617227,0.0601645275,2.3271146
250,-0.0412877947,0.0437617227,0.0601645275,2.3271146
251,-0.0412877947,0.0437617227,0.0601645275,2.3271146
252,-0.0412877947,0.0437617227,0.0601645275,2.3271146
253,-0.0412877947,0.0437617227,0.0601645275,2.3271146
254,-0.0412877947,0.0437617227,0.0601645275,2.3271146
255,-0.0412877947,0.0437617227,0.0601645275,2.3271146
256,-0.0412877947,0.0437617227,0.0601645275,2.3271146
257,-0.0412877947,0.0437617227,0.0601645275,2.3271146
258,-0.0412877947,0.0437617227,0.0601645275,2.3271146
259,-0.0412877947,0.0437617227,0.0601645275,2.3271146
260,-0.0412877947,0.0437617227,0.0601645275,2.3271146
261,-0.0412877947,0.0437617227,0.0601645275,2.3271146
262,-0.0412877947,0.0437617227,0.0601645275,2.3271146
263,-0.0412877947,0.0437617227,0.0601645275,2.3271146
264,-0.0412877947,0.0437617227,0.0601645275,2.3271146
265,-0.0412877947,0.0437617227,0.0601645275,2.3271146
266,-0.0412877947,0.0437617227,0.0601645275,2.3271146
267,-0.0412877947,0.0437617227,0.0601645275,2.3271146
