chunk_index,start_byte,timestamp_ms,formatted_time,lat,lon,accuracy_m
166,43515904,1769614567844,10:36:07.844,42.3392474,-71.0904381,20.697
167,43778048,1769614568374,10:36:08.374,42.3392474,-71.0904381,20.697
168,44040192,1769614568646,10:36:08.646,42.3392474,-71.0904381,20.697
169,44302336,1769614568979,10:36:08.979,42.3392474,-71.0904381,20.697
170,44564480,1769614569365,10:36:09.365,42.3392474,-71.0904381,20.697
171,44826624,1769614569678,10:36:09.678,42.3392474,-71.0904381,20.697
172,45088768,1769614570044,10:36:10.044,42.3392474,-71.0904381,20.697
173,45350912,1769614570583,10:36:10.583,42.3392474,-71.0904381,20.697
174,45613056,1769614571065,10:36:11.065,42.3392474,-71.0904381,20.697
175,45875200,1769614571583,10:36:11.583,42.3392474,-71.0904381,20.697
176,46137344,1769614572054,10:36:12.054,42.3392474,-71.0904381,20.697
177,46399488,1769614572673,10:36:12.673,42.3392474,-71.0904381,20.697
178,46661632,1769614573319,10:36:13.319,42.3392474,-71.0904381,20.697
179,46923776,1769614573812,10:36:13.812,42.3392474,-71.0904381,20.697
180,47185920,1769614574111,10:36:14.111,42.3392474,-71.0904381,20.697
181,47448064,1769614574518,10:36:14.518,42.3392474,-71.0904381,20.697
182,47710208,1769614574993,10:36:14.993,42.3392474,-71.0904381,20.697
183,47972352,1769614575619,10:36:15.619,42.3392474,-71.0904381,20.697
184,48234496,1769614576492,10:36:16.492,42.3392474,-71.0904381,20.697
185,48496640,1769614577278,10:36:17.278,42.3392474,-71.0904381,20.697
186,48758784,1769614577754,10:36:17.754,42.3392474,-71.0904381,20.697
187,49020928,1769614578076,10:36:18.076,42.3392474,-71.0904381,20.697
188,49283072,1769614578424,10:36:18.424,42.3392474,-71.0904381,20.697
189,49545216,1769614578846,10:36:18.846,42.3392474,-71.0904381,20.697
190,49807360,1769614579393,10:36:19.393,42.3392474,-71.0904381,20.697
191,50069504,1769614579802,10:36:19.802,42.3392474,-71.0904381,20.697
192,50331648,1769614580207,10:36:20.207,42.3392474,-71.0904381,20.697
193,50593792,1769614580508,10:36:20.508,42.3392474,-71.0904381,20.697
194,50855936,1769614580859,10:36:20.859,42.3392474,-71.0904381,20.697
195,51118080,1769614581267,10:36:21.267,42.3392474,-71.0904381,20.697
196,51380224,1769614581809,10:36:21.809,42.3392474,-71.0904381,20.697
197,51642368,1769614582278,10:36:22.278,42.3392474,-71.0904381,20.697
198,51904512,1769614582553,10:36:22.553,42.3392474,-71.0904381,20.697
199,52166656,1769614582863,10:36:22.863,42.3392474,-71.0904381,20.697
200,52428800,1769614583220,10:36:23.220,42.3392474,-71.0904381,20.697
201,52690944,1769614583577,10:36:23.577,42.3392474,-71.0904381,20.697
202,52953088,1769614583953,10:36:23.953,42.3392474,-71.0904381,20.697
203,53215232,1769614584279,10:36:24.279,42.3392474,-71.0904381,20.697
204,53477376,1769614584731,10:36:24.731,42.3392474,-71.0904381,20.697
205,53739520,1769614585101,10:36:25.101,42.3392474,-71.0904381,20.697
206,54001664,1769614585435,10:36:25.435,42.3392474,-71.0904381,20.697
207,54263808,1769614585874,10:36:25.874,42.3392474,-71.0904381,20.697
208,54525952,1769614586343,10:36:26.343,42.3392474,-71.0904381,20.697
209,54788096,1769614586798,10:36:26.798,42.3392474,-71.0904381,20.697
210,55050240,1769614587197,10:36:27.197,42.3392474,-71.0904381,20.697
211,55312384,1769614587546,10:36:27.546,42.3392474,-71.0904381,20.697
212,55574528,1769614587919,10:36:27.919,42.3392474,-71.0904381,20.697
213,55836672,1769614588286,10:36:28.286,42.3392474,-71.0904381,20.697
214,56098816,1769614588985,10:36:28.985,42.3392474,-71.0904381,20.697
215,56360960,1769614589364,10:36:29.364,42.3392474,-71.0904381,20.697
216,56623104,1769614589685,10:36:29.685,42.3392474,-71.0904381,20.697
217,56885248,1769614590508,10:36:30.508,42.3392474,-71.0904381,20.697
218,57147392,1769614591335,10:36:31.335,42.3392474,-71.0904381,20.697
219,57409536,1769614591881,10:36:31.881,42.3392474,-71.0904381,20.697
220,57671680,1769614592368,10:36:32.368,42.3392474,-71.0904381,20.697
221,57933824,1769614593019,10:36:33.019,42.3392474,-71.0904381,20.697
222,58195968,1769614593494,10:36:33.494,42.3392474,-71.0904381,20.697
223,58458112,1769614593779,10:36:33.779,42.3392474,-71.0904381,20.697
224,58720256,1769614594121,10:36:34.121,42.3392474,-71.0904381,20.697
225,58982400,1769614594475,10:36:34.475,42.3392474,-71.0904381,20.697
226,59244544,1769614594825,10:36:34.825,42.3392474,-71.0904381,20.697
227,59506688,1769614595201,10:36:35.201,42.3392474,-71.0904381,20.697
228,59768832,1769614595551,10:36:35.551,42.3392474,-71.0904381,20.697
229,60030976,1769614595947,10:36:35.947,42.3392474,-71.0904381,20.697
230,60293120,1769614596251,10:36:36.251,42.3392474,-71.0904381,20.697
231,60555264,1769614596602,10:36:36.602,42.3392474,-71.0904381,20.697
232,60817408,1769614596954,10:36:36.954,42.3392474,-71.0904381,20.697
233,61079552,1769614597302,10:36:37.302,42.3392474,-71.0904381,20.697
234,61341696,1769614597654,10:36:37.654,42.3392474,-71.0904381,20.697
235,61603840,1769614598038,10:36:38.038,42.3392474,-71.0904381,20.697
236,61865984,1769614598565,10:36:38.565,42.3392474,-71.0904381,20.697
237,62128128,1769614599073,10:36:39.073,42.3392474,-71.0904381,20.697
238,62390272,1769614599816,10:36:39.816,42.3392474,-71.0904381,20.697
239,62652416,1769614600478,10:36:40.478,42.3392474,-71.0904381,20.697
240,62914560,1769614600931,10:36:40.931,42.3392474,-71.0904381,20.697
241,63176704,1769614601207,10:36:41.207,42.3392474,-71.0904381,20.697
242,63438848,1769614601628,10:36:41.628,42.3392474,-71.0904381,20.697
243,63700992,1769614602036,10:36:42.036,42.3392474,-71.0904381,20.697
244,63963136,1769614602514,10:36:42.514,42.3392474,-71.0904381,20.697
245,64225280,1769614602992,10:36:42.992,42.3392474,-71.0904381,20.697
246,64487424,1769614603558,10:36:43.558,42.3392474,-71.0904381,20.697
247,64749568,1769614604037,10:36:44.037,42.3392474,-71.0904381,20.697
248,65011712,1769614604305,10:36:44.305,42.3392474,-71.0904381,20.697
249,65273856,1769614604620,10:36:44.620,42.3392474,-71.0904381,20.697
250,65536000,1769614605045,10:36:45.045,42.3392474,-71.0904381,20.697
251,65798144,1769614605613,10:36:45.613,42.3392474,-71.0904381,20.697
252,66060288,1769614606108,10:36:46.108,42.3392474,-71.0904381,20.697
253,66322432,1769614606459,10:36:46.459,42.3392474,-71.0904381,20.697
254,66584576,1769614607029,10:36:47.029,42.3392474,-71.0904381,20.697
255,66846720,1769614607541,10:36:47.541,42.3392474,-71.0904381,20.697
256,67108864,1769614608130,10:36:48.130,42.3392474,-71.0904381,20.697
257,67371008,1769614608610,10:36:48.610,42.3392474,-71.0904381,20.697
258,67633152,1769614608855,10:36:48.855,42.3392474,-71.0904381,20.697
259,67895296,1769614609247,10:36:49.247,42.3392474,-71.0904381,20.697
260,68157440,1769614609766,10:36:49.766,42.3392474,-71.0904381,20.697
261,68419584,1769614610493,10:36:50.493,42.3392474,-71.0904381,20.697
262,68681728,1769614611006,10:36:51.006,42.3392474,-71.0904381,20.697
263,68943872,1769614611272,10:36:51.272,42.3392474,-71.0904381,20.697
264,69206016,1769614611584,10:36:51.584,42.3392474,-71.0904381,20.697
265,69468160,1769614611934,10:36:51.934,42.3392474,-71.0904381,20.697
266,69730304,1769614612466,10:36:52.466,42.3392474,-71.0904381,20.697
267,69992448,1769614612893,10:36:52.893,42.3392474,-71.0904381,20.697
268,70254592,1769614613445,10:36:53.445,42.3392474,-71.0904381,20.697
269,70516736,1769614614266,10:36:54.266,42.3392474,-71.0904381,20.697
270,70778880,1769614614854,10:36:54.854,42.3392474,-71.0904381,20.697
271,71041024,1769614615217,10:36:55.217,42.3392474,-71.0904381,20.697
272,71303168,1769614615647,10:36:55.647,42.3392474,-71.0904381,20.697
273,71565312,1769614616575,10:36:56.575,42.3392474,-71.0904381,20.697
274,71827456,1769614617082,10:36:57.082,42.3392474,-71.0904381,20.697
275,72089600,1769614617662,10:36:57.662,42.3392474,-71.0904381,20.697
276,72351744,1769614618208,10:36:58.208,42.3392474,-71.0904381,20.697
277,72613888,1769614619289,10:36:59.289,42.3392474,-71.0904381,20.697
278,72876032,1769614620570,10:37:00.570,42.3392474,-71.0904381,20.697
279,73138176,1769614621239,10:37:01.239,42.3392474,-71.0904381,20.697
280,73400320,1769614621689,10:37:01.689,42.3392474,-71.0904381,20.697
281,73662464,1769614622528,10:37:02.528,42.3392474,-71.0904381,20.697
282,73924608,1769614623405,10:37:03.405,42.3392474,-71.0904381,20.697
283,74186752,1769614623957,10:37:03.957,42.3392474,-71.0904381,20.697
284,74448896,1769614624640,10:37:04.640,42.3392474,-71.0904381,20.697
285,74711040,1769614625049,10:37:05.049,42.3392474,-71.0904381,20.697
286,74973184,1769614625638,10:37:05.638,42.3392474,-71.0904381,20.697
287,75235328,1769614626482,10:37:06.482,42.3392474,-71.0904381,20.697
288,75497472,1769614626910,10:37:06.910,42.3392474,-71.0904381,20.697
289,75759616,1769614627423,10:37:07.423,42.3392474,-71.0904381,20.697
290,76021760,1769614628248,10:37:08.248,42.3392474,-71.0904381,20.697
291,76283904,1769614628929,10:37:08.929,42.3392474,-71.0904381,20.697
292,76546048,1769614629417,10:37:09.417,42.3392474,-71.0904381,20.697
293,76808192,1769614629680,10:37:09.680,42.3392474,-71.0904381,20.697
294,77070336,1769614630041,10:37:10.041,42.3392474,-71.0904381,20.697
295,77332480,1769614630549,10:37:10.549,42.3392474,-71.0904381,20.697
296,77594624,1769614631208,10:37:11.208,42.3392474,-71.0904381,20.697
297,77856768,1769614631741,10:37:11.741,42.3392474,-71.0904381,20.697
298,78118912,1769614632034,10:37:12.034,42.3392474,-71.0904381,20.697
299,78381056,1769614632384,10:37:12.384,42.3392474,-71.0904381,20.697
300,78643200,1769614632735,10:37:12.735,42.3392474,-71.0904381,20.697
301,78905344,1769614633289,10:37:13.289,42.3392474,-71.0904381,20.697
302,79167488,1769614633876,10:37:13.876,42.3392474,-71.0904381,20.697
303,79429632,1769614634348,10:37:14.348,42.3392474,-71.0904381,20.697
304,79691776,1769614634791,10:37:14.791,42.3392474,-71.0904381,20.697
305,79953920,1769614635145,10:37:15.145,42.3392474,-71.0904381,20.697
306,80216064,1769614635494,10:37:15.494,42.3392474,-71.0904381,20.697
307,80478208,1769614635844,10:37:15.844,42.3392474,-71.0904381,20.697
308,80740352,1769614636389,10:37:16.389,42.3392474,-71.0904381,20.697
309,81002496,1769614636911,10:37:16.911,42.3392474,-71.0904381,20.697
310,81264640,1769614637370,10:37:17.370,42.3392474,-71.0904381,20.697
311,81526784,1769614637779,10:37:17.779,42.3392474,-71.0904381,20.697
312,81788928,1769614638121,10:37:18.121,42.3392474,-71.0904381,20.697
313,82051072,1769614638557,10:37:18.557,42.3392474,-71.0904381,20.697
314,82313216,1769614639025,10:37:19.025,42.3392474,-71.0904381,20.697
315,82575360,1769614639448,10:37:19.448,42.3392474,-71.0904381,20.697
316,82837504,1769614640119,10:37:20.119,42.3392474,-71.0904381,20.697
317,83099648,1769614640414,10:37:20.414,42.3392474,-71.0904381,20.697
318,83361792,1769614640699,10:37:20.699,42.3392474,-71.0904381,20.697
319,83623936,1769614640982,10:37:20.982,42.3392474,-71.0904381,20.697
320,83886080,1769614641359,10:37:21.359,42.3392474,-71.0904381,20.697
321,84148224,1769614642093,10:37:22.093,42.3392474,-71.0904381,20.697
322,84410368,1769614642545,10:37:22.545,42.3392474,-71.0904381,20.697
323,84672512,1769614643231,10:37:23.231,42.3392474,-71.0904381,20.697
324,84934656,1769614643728,10:37:23.728,42.3392474,-71.0904381,20.697
325,85196800,1769614644084,10:37:24.084,42.3392474,-71.0904381,20.697
326,85458944,1769614644546,10:37:24.546,42.3392474,-71.0904381,20.697
327,85721088,1769614645113,10:37:25.113,42.3392474,-71.0904381,20.697
328,85983232,1769614645671,10:37:25.671,42.3392474,-71.0904381,20.697
