pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
26,1763953621.953354836,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-37221.463817,-37221.463817,-37221.463817,235691.820559,235691.820559,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-37221.464844,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-132131.890625,-53887.769531,103603109,103603493
29,1763953622.411673307,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-39995.388375,-39995.388375,-39995.388375,258626.566301,258626.566301,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-39995.386719,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-146169.156250,-54969.332031,107610695,107611079
30,1763953622.411928892,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-40745.785954,-40745.785954,-40745.785954,258468.299499,258468.299499,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-40745.785156,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-146169.156250,-55638.957031,107610696,107611080
31,1763953622.892470360,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36027.884333,-36027.884333,-36027.884333,237444.559321,237444.559321,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36027.882812,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-61476.359375,-53627.519531,111627048,111627432
32,1763953623.338425398,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-35629.194141,-35629.194141,-35629.194141,240548.168328,240548.168328,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-35629.195312,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-124286.109375,-55257.953125,115637132,115637516
33,1763953623.338693380,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36648.187254,-36648.187254,-36648.187254,240337.466698,240337.466698,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36648.187500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-126486.156250,-55934.546875,115637133,115637517
36,1763953623.819797516,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-39575.901812,-39575.901812,-39575.901812,256177.882843,256177.882843,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-39575.902344,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-122836.039062,-55097.953125,119652156,119652540
37,1763953623.819998026,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-40275.462894,-40275.462894,-40275.462894,256038.177308,256038.177308,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-40275.464844,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-122836.039062,-55768.785156,119652157,119652541
38,1763953624.274534464,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36187.909752,-36187.909752,-36187.909752,240509.214358,240509.214358,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36187.910156,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-70106.984375,-53581.320312,123664710,123665094
39,1763953624.758601904,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36102.912509,-36102.912509,-36102.912509,241119.690292,241119.690292,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36102.914062,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-76733.382812,-53744.039062,127673443,127673827
40,1763953625.316392899,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-40615.029219,-40615.029219,-40615.029219,254579.585312,254579.585312,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-40615.027344,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-86069.031250,-55379.367188,131684678,131685062
41,1763953626.210449457,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-35610.938890,-35610.938890,-35610.938890,235958.781301,235958.781301,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-35610.937500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-106045.148438,-53200.980469,139708611,139708995
42,1763953626.210749626,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36629.774374,-36629.774374,-36629.774374,235596.245241,235596.245241,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36629.773438,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-106045.148438,-53805.421875,139708612,139708996
