chunk_idx,t_s,t_e,mac,n_rows,seg_CFO_Hz,seg_CFO_00_Hz,seg_CFO_11_Hz,seg_CFO_10_Hz,seg_CFO_01_Hz,cluster,is_flagged_cluster
0,0.0,900.0,DC:5B:1A:CA:E4:08,1,-47560.0,135664.0,-145287.0,98495.0,-122524.0,0,1
0,0.0,900.0,53:F5:2F:1D:52:F2,1,32358.0,141991.0,-99621.0,127834.0,-110191.0,-1,0
0,0.0,900.0,EB:DE:4A:3E:F3:55,1,26726.0,153535.0,-167072.0,112688.0,-123158.0,-1,0
0,0.0,900.0,F3:9D:51:1C:4A:FF,1,-59073.0,141094.0,-130412.0,109507.0,-120505.0,-1,0
0,0.0,900.0,DC:FE:04:79:E0:42,10,-3916.4,143218.4,-123286.3,117435.5,-100799.7,0,1
0,0.0,900.0,D7:FC:94:CF:5F:42,9,-2499.3333333333335,127576.22222222222,-125570.77777777778,104482.66666666667,-123942.44444444444,0,1
0,0.0,900.0,D7:FA:BC:CE:DF:42,1,0.0,119197.0,-120579.0,103976.0,-116100.0,0,1
0,0.0,900.0,4D:87:78:9B:FB:5F,1,5841.0,119219.0,-123136.0,109686.0,-110695.0,0,1
0,0.0,900.0,F6:EB:2D:30:33:86,1,-59477.0,138550.0,-131623.0,90040.0,-102093.0,-1,0
0,0.0,900.0,CF:BA:3E:63:CA:BD,1,-19902.0,96375.0,-132054.0,82980.0,-110172.0,0,1
0,0.0,900.0,F3:AB:CD:49:13:9B,3,-1561.0,121863.66666666667,-133760.0,115963.0,-114685.33333333333,0,1
0,0.0,900.0,E8:8C:6D:9F:30:DA,1,-17779.0,108913.0,-145180.0,88689.0,-98436.0,-1,0
0,0.0,900.0,EB:6C:5A:8B:99:A1,1,2461.0,131940.0,-130123.0,106261.0,-111868.0,0,1
0,0.0,900.0,C7:45:E5:04:C5:88,1,-16931.0,153256.0,-132012.0,131515.0,-106141.0,0,1
0,0.0,900.0,C1:98:18:C3:E5:2D,1,-46657.0,124106.0,-141473.0,90745.0,-114860.0,0,1
0,0.0,900.0,DC:FE:56:3D:C0:D0,1,10533.0,148828.0,-118613.0,118477.0,-109431.0,0,1
0,0.0,900.0,CD:4E:7A:4A:78:76,2,-5382.0,126140.5,-132131.5,91868.5,-109912.0,0,1
0,0.0,900.0,E6:EC:22:0C:07:44,1,-1239.0,128904.0,-139387.0,94346.0,-122390.0,0,1
0,0.0,900.0,C4:E8:94:F9:37:70,1,-3028.0,94994.0,-113668.0,121215.0,-114811.0,0,1
0,0.0,900.0,D8:46:B4:3C:21:2C,2,-43593.0,135912.5,-141875.5,114784.5,-112254.0,0,1
0,0.0,900.0,CB:E3:44:FF:95:BB,1,23004.0,136610.0,-144831.0,111775.0,-127837.0,0,1
0,0.0,900.0,CF:C2:DC:0F:EE:5A,2,-3751.5,136976.0,-138166.0,97981.0,-96877.5,0,1
0,0.0,900.0,D3:0F:9A:53:2F:40,1,-22810.0,165179.0,-148757.0,126229.0,-127609.0,0,1
0,0.0,900.0,ED:92:F9:4D:D1:A4,1,-19477.0,138972.0,-147760.0,95428.0,-109977.0,0,1
0,0.0,900.0,F3:9D:51:1C:52:FD,2,-53226.0,130741.5,-132556.5,102861.0,-110475.5,0,1
0,0.0,900.0,D8:80:21:84:8F:3E,1,9401.0,117462.0,-130597.0,100287.0,-110353.0,0,1
0,0.0,900.0,DF:6D:4A:4D:52:7D,1,12015.0,139139.0,-137104.0,101686.0,-114518.0,0,1
0,0.0,900.0,F3:AB:DD:49:13:9B,1,-2076.0,126721.0,-137935.0,116372.0,-124640.0,0,1
0,0.0,900.0,D6:8B:91:79:1B:1A,1,-19188.0,118114.0,-118937.0,89826.0,-111999.0,0,1
0,0.0,900.0,EE:78:B5:61:8C:3E,16,-33105.25,127834.4375,-127363.0625,125086.8125,-108882.75,0,1
0,0.0,900.0,DD:A3:2D:2B:24:C4,1,-18998.0,128802.0,-137496.0,98259.0,-106507.0,0,1
0,0.0,900.0,F9:EF:B4:B0:8F:5F,4,4229.0,103655.0,-101008.5,129363.5,-105077.25,-1,0
0,0.0,900.0,E6:98:C8:5E:57:46,1,-7165.0,130687.0,-125311.0,98821.0,-112766.0,0,1
0,0.0,900.0,E5:FC:95:0A:00:58,5,-13683.6,135456.0,-127871.0,112736.4,-112075.8,0,1
0,0.0,900.0,F8:19:A1:31:2A:7A,1,-10920.0,111197.0,-122799.0,119560.0,-101710.0,0,1
0,0.0,900.0,CD:AD:69:B1:E1:04,2,-20364.0,116262.0,-127242.5,97347.5,-91608.0,0,1
0,0.0,900.0,F9:FF:B4:B0:8F:5F,1,-625.0,66435.0,-141899.0,114589.0,-106310.0,-1,0
0,0.0,900.0,E3:68:85:A9:D6:36,1,-7592.0,125785.0,-132161.0,104685.0,-90858.0,0,1
0,0.0,900.0,EF:7C:81:0A:A3:17,17,5957.470588235294,126200.64705882352,-124497.58823529411,120339.17647058824,-94366.4705882353,0,1
0,0.0,900.0,D9:12:4E:C9:12:9A,12,-601.5,126095.08333333333,-121583.25,115901.5,-107173.0,0,1
0,0.0,900.0,F5:FD:C7:AF:6C:D3,12,-7402.833333333333,117779.25,-99706.16666666667,102169.08333333333,-103273.25,0,1
0,0.0,900.0,D4:FE:C3:0B:8E:A0,1,-19108.0,128757.0,-136996.0,103567.0,-105063.0,0,1
0,0.0,900.0,DD:76:7F:75:81:C1,1,7651.0,131466.0,-116865.0,107675.0,-108894.0,0,1
0,0.0,900.0,DC:9D:17:B6:B2:0A,12,-5426.583333333333,134646.25,-105685.41666666667,122219.08333333333,-107541.33333333333,0,1
0,0.0,900.0,E5:D7:A7:60:6E:F5,1,-56484.0,117054.0,-141766.0,103682.0,-121676.0,-1,0
0,0.0,900.0,F0:57:A6:53:4C:B0,1,-17471.0,142134.0,-120988.0,94735.0,-101263.0,0,1
0,0.0,900.0,F6:12:E2:36:C0:6C,12,6933.666666666667,133163.33333333334,-126387.83333333333,112847.16666666667,-99699.08333333333,0,1
0,0.0,900.0,EF:74:81:0A:A3:17,1,25432.0,151752.0,-143815.0,119064.0,-103621.0,0,1
0,0.0,900.0,D9:12:D6:C1:32:9A,1,0.0,134843.0,-123181.0,122788.0,-102510.0,0,1
0,0.0,900.0,C3:34:CC:89:C7:14,1,-41577.0,102416.0,-102252.0,88369.0,-105965.0,0,1
0,0.0,900.0,E3:44:76:7F:9C:A5,6,4168.833333333333,138967.5,-115504.0,130521.83333333333,-99884.16666666667,0,1
0,0.0,900.0,C7:62:4A:42:9B:45,1,-39261.0,141574.0,-159409.0,123821.0,-118889.0,0,1
0,0.0,900.0,D0:31:A2:61:90:56,2,-29309.5,145943.5,-142599.0,106112.5,-111126.5,0,1
0,0.0,900.0,F3:AB:ED:59:13:9B,1,-10331.0,120845.0,-144370.0,121963.0,-119023.0,0,1
0,0.0,900.0,D7:FC:94:C6:5F:42,1,-4457.0,99124.0,-87322.0,96046.0,-89730.0,0,1
0,0.0,900.0,C6:32:6B:2C:50:72,1,33657.0,144996.0,-114095.0,100779.0,-113618.0,-1,0
0,0.0,900.0,F4:0A:4D:A7:7A:E4,1,-21401.0,136208.0,-139676.0,110702.0,-114405.0,0,1
0,0.0,900.0,D0:C4:E7:32:6C:A6,2,-2303.5,109510.5,-131255.5,123228.5,-122211.0,0,1
0,0.0,900.0,C5:F9:F2:80:0E:4C,1,-23801.0,122331.0,-125817.0,90685.0,-117041.0,0,1
0,0.0,900.0,EC:77:BC:CF:51:05,1,659.0,155135.0,-157293.0,96661.0,-104769.0,0,1
0,0.0,900.0,EA:90:89:35:2A:7A,1,3718.0,130322.0,-132144.0,122263.0,-114023.0,0,1
0,0.0,900.0,CD:8F:78:9B:FB:5F,1,-18865.0,97889.0,-118118.0,91934.0,-78820.0,-1,0
0,0.0,900.0,C4:15:DE:36:7F:56,1,-36807.0,124509.0,-93441.0,108435.0,-118308.0,-1,0
0,0.0,900.0,FE:5F:79:E6:D6:46,1,-19066.0,99588.0,-105539.0,94069.0,-117228.0,0,1
0,0.0,900.0,D9:1E:CE:C9:12:9A,1,8850.0,132284.0,-129241.0,117326.0,-106469.0,0,1
0,0.0,900.0,FC:3C:C8:20:47:77,1,-17644.0,121440.0,-121596.0,111533.0,-105919.0,0,1
0,0.0,900.0,CD:AD:69:B0:E1:14,1,5100.0,108260.0,-128013.0,93314.0,-101988.0,0,1
0,0.0,900.0,F6:64:0D:7C:19:C2,8,3711.75,137442.75,-133317.625,113466.75,-109913.875,0,1
0,0.0,900.0,D3:F5:AF:14:52:F6,1,-29019.0,113548.0,-95601.0,124676.0,-96477.0,0,1
0,0.0,900.0,EF:F8:DF:1D:D0:99,1,-28639.0,112033.0,-129271.0,88357.0,-109068.0,0,1
0,0.0,900.0,DD:6D:37:56:C2:1B,1,-4889.0,106360.0,-82278.0,92313.0,-99238.0,0,1
