idx,mac,cluster,t
246,58:1D:3E:9A:9C:CF,1,1760148126.730010
247,58:1D:3E:9A:9C:CF,0,1760148126.730177
248,67:1B:76:98:F8:0A,1,1760148126.734244
249,6F:BD:31:06:60:8F,4,1760148126.744423
250,6F:BD:31:06:60:8F,4,1760148126.744475
251,49:25:F4:02:F1:57,0,1760148126.773859
252,61:32:E8:60:D5:55,1,1760148126.782075
253,58:1D:3E:9A:9C:CF,1,1760148126.783618
254,58:1D:3E:9A:9C:CF,1,1760148126.783662
255,58:1D:3E:9A:9C:CF,0,1760148126.783814
256,58:1D:3E:9A:9C:CF,0,1760148126.783846
257,6F:BD:31:06:60:8F,0,1760148126.784984
258,6F:BD:31:06:60:8F,0,1760148126.785027
259,67:1B:76:98:F8:0A,1,1760148126.788282
260,67:1B:76:98:F8:0A,0,1760148126.788435
261,6F:BD:31:06:60:8F,0,1760148126.826389
262,E9:E0:F5:D9:0D:AC,3,1760148126.826655
263,E9:E0:F5:D9:0D:AC,3,1760148126.826694
264,E8:DC:4C:47:ED:06,3,1760148126.828497
265,49:25:F4:02:F1:57,0,1760148126.830041
266,49:25:F4:02:F1:57,0,1760148126.830081
267,49:25:F4:02:F1:57,0,1760148126.830236
268,49:25:F4:02:F1:57,0,1760148126.830272
269,F7:8F:C1:10:E6:75,3,1760148126.834416
270,F7:8F:C1:10:E6:75,0,1760148126.834564
271,61:32:E8:60:D5:55,0,1760148126.837353
272,58:1D:3E:9A:9C:CF,0,1760148126.840683
273,58:1D:3E:9A:9C:CF,0,1760148126.840839
274,D7:80:75:4B:C7:23,3,1760148126.843102
275,D7:80:75:4B:C7:23,3,1760148126.843141
276,67:1B:76:98:F8:0A,0,1760148126.843838
277,67:1B:76:98:F8:0A,0,1760148126.844032
278,F0:9B:FA:B6:46:83,3,1760148126.844431
279,F0:9B:FA:B6:46:83,3,1760148126.844467
280,F0:9B:FA:B6:46:83,0,1760148126.844605
281,E8:55:CC:56:2A:8F,3,1760148126.846266
282,E8:55:CC:56:2A:8F,0,1760148126.846414
283,6F:BD:31:06:60:8F,5,1760148126.868356
284,49:25:F4:02:F1:57,5,1760148126.885126
285,49:25:F4:02:F1:57,5,1760148126.885173
286,49:25:F4:02:F1:57,5,1760148126.885328
287,49:25:F4:02:F1:57,5,1760148126.885368
288,58:1D:3E:9A:9C:CF,5,1760148126.896116
289,58:1D:3E:9A:9C:CF,5,1760148126.896276
