cluster_id,t_s,t_e,chunk_idx,mac,n_keys,purity_cluster,entropy_cluster,is_quarantined,decision,d_best,n_rows_in_chunk_for_mac,seg_CFO_Hz,seg_CFO_00_Hz,seg_CFO_11_Hz,seg_CFO_10_Hz,seg_CFO_01_Hz
45,0.0,900.0,0,D9:0F:53:36:3B:D2,1,1.0,0.0,0,SPAWN,2731856.5772467465,2,-36636.0,118274.0,-122833.5,95242.5,-120032.5
46,0.0,900.0,0,DF:FB:35:C7:32:25,1,1.0,0.0,0,SPAWN,35971978702754.73,6,-11716.833333333334,120311.66666666667,-111594.83333333333,121826.0,-111342.16666666667
47,0.0,900.0,0,F4:A1:1A:C1:19:AB,1,1.0,0.0,0,SPAWN,2185916077365640.2,1,-57711.0,103102.0,-126858.0,101626.0,-99508.0
48,0.0,900.0,0,E0:2D:50:62:41:58,1,1.0,0.0,0,SPAWN,63285394253187.64,1,-33069.0,112154.0,-183230.0,104863.0,-134445.0
49,0.0,900.0,0,FC:A1:1A:C1:19:8B,1,1.0,0.0,0,SPAWN,6184168195537636.0,3,-42024.333333333336,78666.33333333333,-143693.0,97814.33333333333,-114827.33333333333
50,0.0,900.0,0,DA:1F:6F:CF:C9:A8,1,1.0,0.0,0,SPAWN,493849145490995.56,1,-6143.0,124969.0,-107844.0,93632.0,-73332.0
51,0.0,900.0,0,D8:4A:6B:D4:DD:1B,1,1.0,0.0,0,SPAWN,391674656488167.9,2,-21865.0,126804.0,-139990.5,111378.5,-126369.5
52,0.0,900.0,0,DF:FB:35:C5:32:25,1,1.0,0.0,0,SPAWN,609085124030589.9,1,-18674.0,106864.0,-122039.0,116616.0,-95281.0
53,0.0,900.0,0,E0:2D:50:66:45:4C,1,1.0,0.0,0,SPAWN,25589199083387.453,1,-28186.0,155750.0,-151932.0,106747.0,-122199.0
54,0.0,900.0,0,D3:B1:EB:CD:8F:19,1,1.0,0.0,0,SPAWN,21558714535609.52,1,-20238.0,135244.0,-164810.0,111452.0,-136746.0
55,0.0,900.0,0,D6:E9:50:D7:4C:97,1,1.0,0.0,0,SPAWN,18631588802777.58,2,-45373.5,112284.5,-102131.0,81693.0,-109980.0
56,0.0,900.0,0,C2:52:83:FF:4F:A2,1,1.0,0.0,0,SPAWN,60223967736932.11,2,-26636.0,138510.0,-145138.0,97852.0,-131399.5
57,0.0,900.0,0,C9:A9:74:14:F2:10,1,1.0,0.0,0,SPAWN,299718326804651.75,8,-31486.75,127773.875,-138396.875,119662.0,-116097.75
58,0.0,900.0,0,46:A9:50:D2:DE:97,1,1.0,0.0,0,SPAWN,167113739189694.97,1,-21755.0,102089.0,-101002.0,107125.0,-100454.0
59,0.0,900.0,0,E4:51:13:2E:67:44,1,1.0,0.0,0,SPAWN,7594785453003.488,1,-1180.0,161776.0,-137275.0,112663.0,-128442.0
60,0.0,900.0,0,F6:A2:61:37:DC:78,1,1.0,0.0,0,SPAWN,11442725659766.996,1,-22906.0,109566.0,-124739.0,109735.0,-89573.0
61,0.0,900.0,0,CF:15:4D:59:72:2D,1,1.0,0.0,0,SPAWN,365918728275982.5,1,-2258.0,105762.0,-117568.0,98618.0,-103208.0
62,0.0,900.0,0,F1:94:B7:DA:9D:08,1,1.0,0.0,0,SPAWN,5753225488391919.0,1,20108.0,153192.0,-132407.0,116914.0,-102897.0
63,0.0,900.0,0,C2:53:1C:12:DC:F1,1,1.0,0.0,0,SPAWN,442068902371122.7,1,15978.0,104944.0,-110237.0,96625.0,-102701.0
64,0.0,900.0,0,E0:3D:50:66:45:48,1,1.0,0.0,0,SPAWN,7992039886609.531,1,-23014.0,145846.0,-132085.0,100554.0,-115497.0
65,0.0,900.0,0,D8:4A:6B:D4:1D:3B,1,1.0,0.0,0,SPAWN,32995191298400.418,1,-810.0,127788.0,-147837.0,112178.0,-131822.0
66,0.0,900.0,0,DD:A1:6A:5F:08:4B,1,1.0,0.0,0,SPAWN,67555365249999.58,5,-18276.4,150113.2,-139304.4,116175.6,-120680.6
67,0.0,900.0,0,53:AF:1A:7D:5C:CE,1,1.0,0.0,0,SPAWN,286982394910164.2,1,-7041.0,119315.0,-121237.0,101875.0,-118414.0
68,0.0,900.0,0,DB:78:5C:36:A8:16,1,1.0,0.0,0,SPAWN,40934894412098.555,1,-25681.0,94483.0,-130780.0,74937.0,-159453.0
69,0.0,900.0,0,D7:AF:1A:7D:5C:CC,1,1.0,0.0,0,SPAWN,922214180092.6223,2,-35974.0,139813.0,-134127.5,110074.5,-129114.0
70,0.0,900.0,0,DA:2E:D6:06:AD:A8,1,1.0,0.0,0,SPAWN,49057590579328.01,1,-12225.0,101719.0,-133680.0,90001.0,-119538.0
71,0.0,900.0,0,E0:25:50:66:45:48,1,1.0,0.0,0,SPAWN,6697433334678.271,1,-36884.0,132506.0,-163096.0,109013.0,-117742.0
72,0.0,900.0,0,DA:2F:0C:4E:A8:AA,1,1.0,0.0,0,SPAWN,91600907946.55988,2,-18791.5,92731.5,-144318.5,88220.5,-122167.5
73,0.0,900.0,0,E0:2B:50:66:47:48,1,1.0,0.0,0,SPAWN,1536621341397866.5,1,-43346.0,149924.0,-159294.0,104578.0,-123473.0
74,0.0,900.0,0,DA:3D:0C:4E:A8:AA,1,1.0,0.0,0,SPAWN,74494456718797.61,1,-15779.0,127105.0,-138645.0,112733.0,-144023.0
75,0.0,900.0,0,F0:8D:EE:29:48:46,1,1.0,0.0,0,SPAWN,8882443675026.412,1,-4484.0,74373.0,-119599.0,73919.0,-84109.0
76,0.0,900.0,0,F8:09:54:90:55:48,1,1.0,0.0,0,SPAWN,29517633882778.87,1,-37385.0,87531.0,-143911.0,85074.0,-117868.0
77,0.0,900.0,0,CE:65:ED:9E:53:0F,1,1.0,0.0,0,SPAWN,1.0585729765691484e+16,1,25394.0,124925.0,-136145.0,110038.0,-110358.0
78,0.0,900.0,0,D2:8C:FA:E9:C7:57,1,1.0,0.0,0,SPAWN,30642206383968.17,1,-7229.0,128803.0,-110033.0,90963.0,-86639.0
79,0.0,900.0,0,A0:2D:40:66:45:48,1,1.0,0.0,0,SPAWN,1203461421416.925,1,-7029.0,125737.0,-152903.0,108445.0,-120235.0
80,0.0,900.0,0,EB:B8:45:B7:59:25,1,1.0,0.0,0,SPAWN,603483434227.6775,3,-7514.666666666667,128604.0,-133224.66666666666,101931.0,-107444.66666666667
81,0.0,900.0,0,C2:73:EA:DA:19:46,1,1.0,0.0,0,SPAWN,120551559182151.3,1,0.0,152904.0,-136559.0,121219.0,-130654.0
82,0.0,900.0,0,EB:DE:69:AF:47:EC,1,1.0,0.0,0,SPAWN,69523399480349.586,1,-15525.0,144093.0,-107319.0,133498.0,-100729.0
83,0.0,900.0,0,F3:E4:2E:8A:6F:C2,1,1.0,0.0,0,SPAWN,3175104065505152.5,1,-97886.0,91843.0,-143871.0,63707.0,-118308.0
84,0.0,900.0,0,C5:61:C7:1F:B8:2E,1,1.0,0.0,0,SPAWN,687537985088.7848,1,-16486.0,126295.0,-93358.0,85990.0,-121629.0
85,0.0,900.0,0,D9:35:13:D2:45:28,1,1.0,0.0,0,SPAWN,830686681469055.6,1,-11715.0,82195.0,-117508.0,122072.0,-106098.0
86,0.0,900.0,0,C6:86:0B:B1:05:13,1,1.0,0.0,0,SPAWN,19345855466079.05,13,-22890.076923076922,123517.15384615384,-139594.0,107274.76923076923,-121685.46153846153
87,0.0,900.0,0,C6:86:0B:31:85:13,1,1.0,0.0,0,SPAWN,672018565035600.5,1,-10890.0,145681.0,-167639.0,114744.0,-127888.0
88,0.0,900.0,0,C6:86:0F:B1:05:13,1,1.0,0.0,0,SPAWN,4582014481118.723,1,-3761.0,121734.0,-112494.0,103930.0,-119947.0
89,0.0,900.0,0,D7:8F:BC:2E:2B:98,1,1.0,0.0,0,SPAWN,71737880248935.86,1,-17613.0,139425.0,-157265.0,110896.0,-127460.0
90,0.0,900.0,0,D0:C7:5D:2D:2D:A8,1,1.0,0.0,0,SPAWN,530766184541788.0,2,-14838.0,118063.5,-137154.0,112045.0,-92678.5
91,0.0,900.0,0,E2:39:E9:6E:4D:DC,1,1.0,0.0,0,SPAWN,91292624322426.73,1,-6778.0,110063.0,-126974.0,80432.0,-112001.0
92,0.0,900.0,0,C6:86:0B:BB:65:13,1,1.0,0.0,0,SPAWN,769102390068142.5,1,1540.0,130200.0,-136146.0,106773.0,-125087.0
93,0.0,900.0,0,CB:97:47:5A:BD:0A,1,1.0,0.0,0,SPAWN,142705768477833.22,1,-4608.0,126418.0,-127566.0,115097.0,-108434.0
94,0.0,900.0,0,FB:82:53:35:21:D7,1,1.0,0.0,0,SPAWN,742207898624.9174,1,-44355.0,104584.0,-176430.0,80154.0,-130423.0
95,0.0,900.0,0,F8:E8:5F:1F:4D:C8,1,1.0,0.0,0,SPAWN,43908391996953.33,1,-33698.0,122779.0,-103998.0,92167.0,-78369.0
96,0.0,900.0,0,CC:A8:8E:AA:EC:75,1,1.0,0.0,0,SPAWN,25599425502445.04,1,-26233.0,82482.0,-115869.0,93790.0,-108670.0
97,0.0,900.0,0,F1:27:C0:05:71:40,1,1.0,0.0,0,SPAWN,47217231850335.29,1,1424.0,146127.0,-135777.0,111701.0,-108494.0
98,0.0,900.0,0,D6:35:BA:03:7A:5D,1,1.0,0.0,0,SPAWN,6007320056842.134,2,-21394.5,131777.5,-146535.5,98095.5,-124917.0
99,0.0,900.0,0,CA:FF:3C:9D:45:2E,1,1.0,0.0,0,SPAWN,1.3963283240489152e+16,1,6318.0,152586.0,-149105.0,122332.0,-119919.0
100,0.0,900.0,0,CA:FF:3C:9D:55:2E,1,1.0,0.0,0,SPAWN,27015258656708.113,1,-3555.0,118278.0,-123868.0,113427.0,-111210.0
101,0.0,900.0,0,FE:70:9D:F1:6F:4C,1,1.0,0.0,0,SPAWN,2790780754555.023,3,-20508.0,143797.66666666666,-131398.0,115094.33333333333,-117646.33333333333
102,0.0,900.0,0,F2:34:00:22:F7:A2,1,1.0,0.0,0,SPAWN,103071982798690.03,3,-24000.666666666668,139938.33333333334,-137657.66666666666,104664.33333333333,-115473.33333333333
103,0.0,900.0,0,F2:34:00:22:F7:A6,1,1.0,0.0,0,SPAWN,26550566026165.867,1,-16364.0,153766.0,-159694.0,114360.0,-125966.0
104,0.0,900.0,0,EB:B1:3F:B9:F6:9F,1,1.0,0.0,0,SPAWN,581127634044629.1,1,16314.0,135971.0,-101336.0,123854.0,-91696.0
105,0.0,900.0,0,EB:B1:3F:B8:FE:9F,1,1.0,0.0,0,SPAWN,6745645444460.218,3,-26287.666666666668,128998.0,-126054.33333333333,133506.0,-109295.33333333333
106,0.0,900.0,0,D2:24:00:22:D3:A2,1,1.0,0.0,0,SPAWN,1824330981674446.5,1,3736.0,91524.0,-102809.0,90676.0,-105441.0
107,0.0,900.0,0,DC:79:3F:F9:11:93,1,1.0,0.0,0,SPAWN,582347272662294.9,1,-2561.0,71415.0,-122745.0,140398.0,-96446.0
108,0.0,900.0,0,EA:D7:20:AE:B7:87,1,1.0,0.0,0,SPAWN,2508517838111972.0,3,8327.666666666666,142533.66666666666,-105313.0,119639.33333333333,-111421.33333333333
109,0.0,900.0,0,EB:0F:57:A5:54:67,1,1.0,0.0,0,SPAWN,61470648835845.54,3,-8264.0,118681.0,-114854.0,104705.0,-110628.33333333333
110,0.0,900.0,0,CA:B3:0F:40:08:06,1,1.0,0.0,0,SPAWN,7045352420728.78,1,-4373.0,139052.0,-138021.0,100794.0,-110722.0
111,0.0,900.0,0,C1:E8:C4:ED:88:77,1,1.0,0.0,0,SPAWN,327185378254.8381,1,18517.0,135390.0,-134780.0,120070.0,-106897.0
112,0.0,900.0,0,C1:C8:C4:9D:88:77,1,1.0,0.0,0,SPAWN,279901848889307.06,1,1751.0,146482.0,-127491.0,113172.0,-116248.0
113,900.0,1800.0,1,D1:21:80:0B:30:F9,1,1.0,0.0,0,SPAWN,430133816952521.8,3,4055.6666666666665,132652.33333333334,-118624.0,115869.66666666667,-93454.66666666667
114,900.0,1800.0,1,EB:FF:AD:4A:57:17,1,1.0,0.0,0,SPAWN,39635921139428.56,1,12896.0,85023.0,-110800.0,77229.0,-106263.0
115,900.0,1800.0,1,E2:5A:83:3A:31:9A,1,1.0,0.0,0,SPAWN,672447184900041.9,1,29280.0,158112.0,-123732.0,115093.0,-97186.0
116,900.0,1800.0,1,C9:CA:D6:A9:49:55,1,1.0,0.0,0,SPAWN,30621396950275.65,1,-12969.0,125267.0,-99136.0,91944.0,-83801.0
117,900.0,1800.0,1,D2:76:15:3F:3E:76,1,1.0,0.0,0,SPAWN,11199089247394.215,8,5151.625,130418.625,-115316.5,120849.5,-91290.625
118,900.0,1800.0,1,D0:76:11:3F:3E:76,1,1.0,0.0,0,SPAWN,430478699511.04877,1,-10516.0,142146.0,-138576.0,135000.0,-93298.0
119,900.0,1800.0,1,E7:3B:2F:C3:71:38,1,1.0,0.0,0,SPAWN,99098004068854.72,1,-9190.0,87683.0,-82218.0,80253.0,-101679.0
120,900.0,1800.0,1,E7:3A:AF:C2:51:28,1,1.0,0.0,0,SPAWN,340575711483296.1,1,-25131.0,131586.0,-126660.0,101955.0,-116820.0
121,900.0,1800.0,1,C2:7E:45:E2:5A:37,1,1.0,0.0,0,SPAWN,7061235364649.64,1,10124.0,126943.0,-110957.0,113969.0,-127822.0
122,900.0,1800.0,1,ED:9D:F2:CA:B8:DF,1,1.0,0.0,0,SPAWN,12236102705775.799,2,1128.0,110642.5,-120779.0,110856.5,-99577.5
123,900.0,1800.0,1,E3:7E:94:D2:66:F1,1,1.0,0.0,0,SPAWN,41578150501484.195,3,5035.0,96351.0,-129991.33333333333,115044.0,-100875.0
124,900.0,1800.0,1,80:B5:5A:9B:95:34,1,1.0,0.0,0,SPAWN,28467327680837.51,1,-1026.0,135530.0,-100606.0,115105.0,-85263.0
125,900.0,1800.0,1,F9:AC:ED:A2:60:AC,1,1.0,0.0,0,SPAWN,436364686839397.1,1,-26731.0,116330.0,-166032.0,116763.0,-115033.0
126,900.0,1800.0,1,A3:56:90:C2:26:98,1,1.0,0.0,0,SPAWN,27670287107990.977,1,-8521.0,93948.0,-129875.0,134750.0,-104285.0
